k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err
0.000000e+00,1.193202e+01,8.102259e+01,8.102259e-01
2.843466e-03,8.460500e+00,1.389703e+01,1.389703e-01
5.686932e-03,5.893679e+00,8.668867e+00,8.668867e-02
8.530398e-03,4.592943e+00,6.644380e+00,6.644380e-02
1.137386e-02,3.728902e+00,5.083417e+00,5.083417e-02
1.421733e-02,3.072282e+00,4.096815e+00,4.096815e-02
1.706080e-02,2.548319e+00,3.444845e+00,3.444845e-02
1.990426e-02,2.105394e+00,2.819300e+00,2.819300e-02
2.274773e-02,1.800485e+00,2.305977e+00,2.305977e-02
2.559119e-02,1.510613e+00,1.957381e+00,1.957381e-02
2.843466e-02,1.305435e+00,1.684292e+00,1.684292e-02
3.127813e-02,1.113278e+00,1.386651e+00,1.386651e-02
3.412159e-02,9.552550e-01,1.209216e+00,1.209216e-02
3.696506e-02,8.299193e-01,1.061278e+00,1.061278e-02
3.980852e-02,7.235211e-01,8.981424e-01,8.981424e-03
4.265199e-02,6.163722e-01,7.632019e-01,7.632019e-03
4.549546e-02,5.310476e-01,6.533091e-01,6.533091e-03
4.833892e-02,4.810049e-01,5.843529e-01,5.843529e-03
5.118239e-02,4.097488e-01,4.975179e-01,4.975179e-03
5.402585e-02,3.541152e-01,4.180895e-01,4.180895e-03
5.686932e-02,3.139324e-01,3.732932e-01,3.732932e-03
5.971278e-02,2.797938e-01,3.408208e-01,3.408208e-03
6.255625e-02,2.499497e-01,2.947969e-01,2.947969e-03
6.539972e-02,2.206652e-01,2.631115e-01,2.631115e-03
6.824318e-02,1.924906e-01,2.248013e-01,2.248013e-03
7.108665e-02,1.671587e-01,2.008732e-01,2.008732e-03
7.393011e-02,1.493039e-01,1.725802e-01,1.725802e-03
7.677358e-02,1.287345e-01,1.508586e-01,1.508586e-03
7.961705e-02,1.165125e-01,1.386856e-01,1.386856e-03
8.246051e-02,1.011122e-01,1.199332e-01,1.199332e-03
8.530398e-02,8.861181e-02,1.064717e-01,1.064717e-03
8.814744e-02,7.865343e-02,9.232894e-02,9.232894e-04
9.099091e-02,7.010837e-02,8.352589e-02,8.352589e-04
9.383438e-02,6.290310e-02,7.292158e-02,7.292158e-04
9.667784e-02,5.499320e-02,6.532093e-02,6.532093e-04
9.952131e-02,4.844496e-02,5.596805e-02,5.596805e-04
1.023648e-01,4.273391e-02,5.130990e-02,5.130990e-04
1.052082e-01,3.740730e-02,4.381980e-02,4.381980e-04
1.080517e-01,3.302213e-02,3.881507e-02,3.881507e-04
1.108952e-01,2.951277e-02,3.558018e-02,3.558018e-04
1.137386e-01,2.575272e-02,3.026603e-02,3.026603e-04
1.165821e-01,2.326033e-02,2.714682e-02,2.714682e-04
1.194256e-01,2.039535e-02,2.441425e-02,2.441425e-04
1.222690e-01,1.825911e-02,2.080751e-02,2.080751e-04
1.251125e-01,1.598397e-02,1.921139e-02,1.921139e-04
1.279560e-01,1.414961e-02,1.705573e-02,1.705573e-04
1.307994e-01,1.266775e-02,1.543966e-02,1.543966e-04
1.336429e-01,1.138767e-02,1.350993e-02,1.350993e-04
1.364864e-01,1.005986e-02,1.211880e-02,1.211880e-04
1.393298e-01,8.838624e-03,1.092794e-02,1.092794e-04
1.421733e-01,7.883348e-03,9.464599e-03,9.464599e-05
1.450168e-01,7.014274e-03,8.647112e-03,8.647112e-05
1.478602e-01,6.270986e-03,7.808510e-03,7.808510e-05
1.507037e-01,5.488983e-03,6.653702e-03,6.653702e-05
1.535472e-01,4.804159e-03,5.747838e-03,5.747838e-05
1.563906e-01,4.196471e-03,5.007051e-03,5.007051e-05
1.592341e-01,3.740082e-03,4.522598e-03,4.522598e-05
1.620776e-01,3.443471e-03,4.421191e-03,4.421191e-05
1.649210e-01,3.000575e-03,3.812830e-03,3.812830e-05
1.677645e-01,2.646905e-03,3.403173e-03,3.403173e-05
1.706080e-01,2.341839e-03,2.913475e-03,2.913475e-05
1.734514e-01,2.098398e-03,2.685030e-03,2.685030e-05
1.762949e-01,1.849644e-03,2.368676e-03,2.368676e-05
1.791384e-01,1.653266e-03,2.090056e-03,2.090056e-05
1.819818e-01,1.479317e-03,1.933560e-03,1.933560e-05
1.848253e-01,1.304919e-03,1.722026e-03,1.722026e-05
1.876688e-01,1.170983e-03,1.556417e-03,1.556417e-05
1.905122e-01,1.020582e-03,1.349833e-03,1.349833e-05
1.933557e-01,9.229239e-04,1.274955e-03,1.274955e-05
1.961992e-01,8.288308e-04,1.157741e-03,1.157741e-05
1.990426e-01,7.411987e-04,1.108687e-03,1.108687e-05
2.018861e-01,6.661433e-04,9.677454e-04,9.677454e-06
2.047295e-01,6.077381e-04,9.399468e-04,9.399468e-06
2.075730e-01,5.281342e-04,8.073401e-04,8.073401e-06
2.104165e-01,4.675015e-04,7.254398e-04,7.254398e-06
2.132599e-01,4.193080e-04,6.640065e-04,6.640065e-06
2.161034e-01,3.704762e-04,5.923348e-04,5.923348e-06
2.189469e-01,3.295073e-04,5.103609e-04,5.103609e-06
2.217903e-01,2.961541e-04,4.578619e-04,4.578619e-06
2.246338e-01,2.644040e-04,4.313397e-04,4.313397e-06
2.274773e-01,2.354153e-04,3.891723e-04,3.891723e-06
2.303207e-01,2.111364e-04,3.791505e-04,3.791505e-06
2.331642e-01,1.858252e-04,3.245109e-04,3.245109e-06
2.360077e-01,1.695508e-04,3.166054e-04,3.166054e-06
2.388511e-01,1.519395e-04,2.944440e-04,2.944440e-06
2.416946e-01,1.371206e-04,2.773696e-04,2.773696e-06
2.445381e-01,1.259213e-04,2.714839e-04,2.714839e-06
2.473815e-01,1.129894e-04,2.586754e-04,2.586754e-06
2.502250e-01,1.001654e-04,2.321142e-04,2.321142e-06
2.530685e-01,9.047594e-05,2.197875e-04,2.197875e-06
2.559119e-01,8.117046e-05,2.099955e-04,2.099955e-06
2.587554e-01,7.268920e-05,1.860035e-04,1.860035e-06
2.615989e-01,6.600365e-05,1.780727e-04,1.780727e-06
2.644423e-01,5.920331e-05,1.597583e-04,1.597583e-06
2.672858e-01,5.429884e-05,1.548609e-04,1.548609e-06
2.701293e-01,4.946050e-05,1.440613e-04,1.440613e-06
2.729727e-01,4.450657e-05,1.306340e-04,1.306340e-06
2.758162e-01,3.980734e-05,1.227097e-04,1.227097e-06
2.786597e-01,3.683419e-05,1.151029e-04,1.151029e-06
2.815031e-01,3.332191e-05,1.078362e-04,1.078362e-06
2.843466e-01,3.049210e-05,1.045946e-04,1.045946e-06
2.871901e-01,2.743207e-05,9.764444e-05,9.764444e-07
2.900335e-01,2.431818e-05,9.247500e-05,9.247500e-07
2.928770e-01,2.225051e-05,8.823581e-05,8.823581e-07
2.957205e-01,2.040619e-05,8.520692e-05,8.520692e-07
2.985639e-01,1.869234e-05,8.034679e-05,8.034679e-07
3.014074e-01,1.743542e-05,7.646934e-05,7.646934e-07
3.042509e-01,1.588263e-05,7.488606e-05,7.488606e-07
3.070943e-01,1.470169e-05,7.024888e-05,7.024888e-07
3.099378e-01,1.360427e-05,6.958563e-05,6.958563e-07
3.127813e-01,1.233777e-05,6.528193e-05,6.528193e-07
3.156247e-01,1.103734e-05,6.036517e-05,6.036517e-07
3.184682e-01,1.023004e-05,5.901387e-05,5.901387e-07
3.213117e-01,9.195624e-06,5.275206e-05,5.275206e-07
3.241551e-01,8.799982e-06,5.093216e-05,5.093216e-07
3.269986e-01,8.161883e-06,4.755869e-05,4.755869e-07
3.298420e-01,7.451341e-06,4.351420e-05,4.351420e-07
3.326855e-01,7.086026e-06,4.229104e-05,4.229104e-07
3.355290e-01,6.568007e-06,4.113282e-05,4.113282e-07
3.383724e-01,6.066850e-06,4.002904e-05,4.002904e-07
3.412159e-01,5.757412e-06,3.902765e-05,3.902765e-07
