ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,4.655642e+04,8.848314e+03
HI 1215Å,22779,2.277900e+01,7.015533e-02,9.835723e+03,1.215117e+00
