# T0 = 19207.397170805973 K
# gamma = 1.079868975006798
# gamma_err = 0.07022624906096715
# T0_err = 8132.364802026451 K
# n_bins_fit = 28
# n_pixels = 47305739
log_density,log_temperature
2.492941e+00,5.829209e+00
2.161252e-01,4.064817e+00
-4.538050e-01,4.128053e+00
-3.080323e-02,3.802907e+00
6.871749e-01,4.130000e+00
-1.332396e-01,3.810138e+00
-3.792438e-01,3.691973e+00
-5.962785e-01,3.653395e+00
-8.927468e-03,3.809374e+00
-5.769028e-01,3.639960e+00
-9.235744e-02,3.777322e+00
9.382962e-02,3.856659e+00
-4.050766e-02,3.913638e+00
-1.723902e-01,3.855067e+00
-2.381512e-01,3.732113e+00
-3.899564e-01,3.695663e+00
-8.353468e-01,3.613119e+00
-4.791482e-01,3.680892e+00
-3.259502e-02,3.830274e+00
-6.136808e-01,3.652600e+00
4.164210e-01,3.972415e+00
6.629158e-01,6.227611e+00
-3.144310e-01,3.706786e+00
6.145139e-01,6.012948e+00
-1.050270e-01,3.820095e+00
-1.595401e-01,3.766385e+00
-1.046521e-02,3.963006e+00
3.285526e-01,4.219498e+00
6.537580e-02,3.862486e+00
-5.073003e-01,3.648667e+00
-4.382132e-02,6.145162e+00
-6.557069e-01,3.764638e+00
1.662623e-01,3.896531e+00
3.468961e-01,4.499597e+00
1.886258e+00,5.095699e+00
-3.281270e-01,3.720640e+00
2.227268e-03,3.815410e+00
-3.416378e-01,3.707334e+00
-6.279031e-01,3.622358e+00
-4.230179e-01,3.712669e+00
7.032457e-01,4.142983e+00
-6.283428e-01,3.654500e+00
-2.438247e-01,3.893021e+00
-2.415039e-01,3.727379e+00
5.734444e-01,4.058577e+00
2.421894e-01,4.223951e+00
6.398746e-02,3.890096e+00
4.637868e-02,4.788258e+00
-6.628333e-01,3.653535e+00
8.707121e-01,4.443645e+00
5.490144e-01,4.686264e+00
1.263253e+00,4.872063e+00
1.261685e-01,4.340928e+00
-7.096657e-01,3.600914e+00
-3.474585e-01,3.742020e+00
3.848054e-01,3.987332e+00
1.616192e+00,5.112153e+00
-2.583236e-01,3.717868e+00
-4.754031e-01,3.673202e+00
-3.141637e-01,3.711141e+00
3.597338e-01,3.937317e+00
6.988549e-01,5.279845e+00
-2.102074e-01,3.742169e+00
5.190913e-01,4.061967e+00
1.856902e-01,3.890939e+00
6.265203e-01,5.080931e+00
-2.475769e-02,3.855050e+00
-4.827851e-01,3.684668e+00
-6.896676e-02,3.782889e+00
-5.083412e-01,3.678648e+00
-9.229432e-01,3.971875e+00
-7.515307e-01,3.616151e+00
-3.501414e-01,3.701560e+00
-8.191380e-01,3.614401e+00
-2.541321e-01,3.740284e+00
1.265079e+00,4.520395e+00
8.965259e-01,4.736461e+00
-4.542049e-01,3.664894e+00
-3.734692e-01,3.704894e+00
1.861494e+00,5.269190e+00
-7.455871e-01,3.599553e+00
-6.486456e-01,3.622557e+00
-2.442527e-01,4.405621e+00
-4.984549e-02,4.949945e+00
-2.135519e-01,3.870203e+00
-4.721343e-01,3.808322e+00
-3.756959e-01,3.907142e+00
8.511519e-01,4.307177e+00
-1.642421e-01,3.787115e+00
1.194417e+00,5.152247e+00
1.587512e+00,4.590940e+00
-6.122058e-05,3.811732e+00
1.623543e-01,4.073585e+00
-8.371915e-01,3.594167e+00
1.698025e+00,5.349648e+00
6.971952e-01,5.058839e+00
-4.060732e-01,3.819752e+00
1.038676e+00,5.202043e+00
3.384423e+00,4.224954e+00
-3.240371e-01,3.702072e+00
5.301534e-01,4.032236e+00
-2.885606e-01,3.811881e+00
-5.798160e-02,3.869472e+00
9.055763e-01,5.288162e+00
7.482198e-02,4.234205e+00
-7.183339e-01,3.611155e+00
-5.110124e-01,3.680412e+00
3.589900e-01,3.956113e+00
-5.613503e-01,3.678972e+00
4.089546e-01,4.780919e+00
1.297430e+00,4.598906e+00
-3.967492e-01,4.053010e+00
8.858540e-01,5.543485e+00
4.909359e-01,4.097599e+00
-2.632887e-01,3.767084e+00
-6.367455e-01,3.655523e+00
-4.648158e-01,4.066914e+00
1.840417e+00,5.863091e+00
-8.442289e-02,3.770469e+00
6.540057e-01,4.139351e+00
-6.560694e-01,3.627862e+00
4.233316e-01,4.713727e+00
1.079423e-01,3.843983e+00
-1.392803e-01,3.763603e+00
-3.449025e-01,3.695127e+00
4.519591e-01,4.246404e+00
2.987644e-03,3.818873e+00
-3.205955e-01,4.607755e+00
-1.053154e-01,3.762886e+00
8.610309e-01,4.663086e+00
-2.544513e-01,3.877956e+00
-7.958180e-01,3.600467e+00
-2.256559e-01,3.780684e+00
-6.706977e-01,3.643913e+00
4.378117e-01,3.994404e+00
-5.036546e-01,3.652149e+00
-4.912148e-01,3.661584e+00
1.448299e-01,4.721247e+00
-1.225763e-01,3.771365e+00
-1.003638e-01,3.773697e+00
-3.636813e-01,3.719896e+00
7.225771e-02,3.924381e+00
-1.271231e-01,3.895946e+00
4.697937e-01,4.147828e+00
-1.861032e-02,4.815482e+00
1.734378e-01,3.879062e+00
3.370261e-01,3.955342e+00
1.191385e+00,4.938135e+00
-2.297861e-01,4.416555e+00
1.239244e+00,5.431275e+00
-5.680559e-01,3.654923e+00
-2.401755e-01,3.718556e+00
1.793781e+00,5.061551e+00
-3.674648e-01,3.733876e+00
-4.161088e-01,3.672610e+00
-3.686628e-01,3.725447e+00
-4.985422e-01,3.674147e+00
-8.550194e-01,3.599224e+00
-5.556779e-01,3.630820e+00
-6.572701e-02,5.568188e+00
-2.391287e-01,3.737473e+00
7.706441e-02,3.866699e+00
1.241093e+00,6.086614e+00
-5.085503e-01,3.660275e+00
-6.086276e-01,3.630309e+00
-4.317049e-01,3.707262e+00
-7.435789e-01,3.623998e+00
-2.862368e-01,3.704608e+00
8.557248e-01,4.646551e+00
-1.834937e-01,3.827266e+00
-4.608242e-01,3.668476e+00
5.416376e-01,4.367581e+00
-3.004993e-01,4.259704e+00
-6.533098e-01,3.643069e+00
-4.685890e-02,3.878024e+00
5.067818e-02,3.836963e+00
-6.489272e-01,3.644535e+00
-5.820081e-01,3.988195e+00
1.419714e-01,3.859955e+00
-2.634824e-01,3.773415e+00
9.672100e-01,5.839224e+00
8.321242e-01,4.251595e+00
-3.348310e-01,3.742946e+00
4.626113e-02,3.863535e+00
-1.070147e-01,3.795809e+00
5.008582e-01,4.683091e+00
-3.858144e-01,3.704666e+00
-5.282848e-01,3.659046e+00
4.348083e-01,4.330442e+00
-8.198580e-01,3.613925e+00
-2.240286e-02,3.803161e+00
-8.919993e-01,3.602064e+00
5.554329e-01,5.399428e+00
2.866849e-01,3.938377e+00
1.573229e+00,4.914701e+00
3.043014e-01,3.922690e+00
-2.941041e-01,3.761608e+00
