ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,4.752851e+04,1.029122e+04
HI 1215Å,29765,2.976500e+01,8.536937e-02,9.333871e+03,1.207984e+00
