ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.439397e+05,5.301556e+04
HI 1215Å,113947,1.139470e+02,4.266970e-01,5.261657e+03,1.694602e+00
