ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10001,1.000100e+01,9.999999e-01,1.737818e+04,2.305115e+03
HI 1215Å,10273,1.027300e+01,2.634981e-02,1.522791e+04,1.057906e+00
