# n_sightlines = 10000
# X = 1.344141e-02 (absorption distance, dimensionless)
# dX_comoving_mpc = 37.252272
# X_absorption = 1.344141e-02
# redshift = 0.269588
# n_absorbers = 450000
# absorber_mode = 2
# cell_dv = 50.0
# colden_mode = 1
# norm_mode = 1
# log_N_min = 13.0
# log_N_max = 22.8
# n_bins = 49
# fit_log_N_min = 13.5
# fit_log_N_max = 15.0
# min_N_gate = 0.0
# dx_mode = 1
# beta_fit = 2.163152
# beta_fit_err = 0.044102
# beta_fit_n_bins = 8
# f_N_HI units: [cm^2]  (f(N) = dn/dN dX)
#
log10_N_HI,f_N_HI,counts,f_N_HI_err,delta_log_N,bin_center
1.311141e+01,7.185386e-12,5649,9.560141e-14,2.000000e-01,1.292447e+13
1.331141e+01,3.357919e-12,4184,5.191279e-14,2.000000e-01,2.048390e+13
1.351141e+01,1.493828e-12,2950,2.750360e-14,2.000000e-01,3.246479e+13
1.371141e+01,6.386918e-13,1999,1.428515e-14,2.000000e-01,5.145323e+13
1.391141e+01,2.669110e-13,1324,7.335378e-15,2.000000e-01,8.154787e+13
1.411141e+01,1.009948e-13,794,3.584171e-15,2.000000e-01,1.292447e+14
1.431141e+01,3.707836e-14,462,1.725041e-15,2.000000e-01,2.048390e+14
1.451141e+01,1.346977e-14,266,8.258846e-16,2.000000e-01,3.246479e+14
1.471141e+01,4.249425e-15,133,3.684719e-16,2.000000e-01,5.145323e+14
1.491141e+01,1.431320e-15,71,1.698665e-16,2.000000e-01,8.154787e+14
1.511141e+01,8.267837e-16,65,1.025499e-16,2.000000e-01,1.292447e+15
1.531141e+01,1.926149e-16,24,3.931734e-17,2.000000e-01,2.048390e+15
1.551141e+01,1.063403e-16,21,2.320535e-17,2.000000e-01,3.246479e+15
1.571141e+01,4.153573e-17,13,1.151994e-17,2.000000e-01,5.145323e+15
1.591141e+01,2.419133e-17,12,6.983436e-18,2.000000e-01,8.154787e+15
1.611141e+01,1.144777e-17,9,3.815925e-18,2.000000e-01,1.292447e+16
1.631141e+01,8.025619e-18,10,2.537924e-18,2.000000e-01,2.048390e+16
1.651141e+01,5.063823e-18,10,1.601321e-18,2.000000e-01,3.246479e+16
1.671141e+01,3.195056e-18,10,1.010366e-18,2.000000e-01,5.145323e+16
1.691141e+01,1.612755e-18,8,5.701952e-19,2.000000e-01,8.154787e+16
1.711141e+01,8.903824e-19,7,3.365329e-19,2.000000e-01,1.292447e+17
1.731141e+01,3.210248e-19,4,1.605124e-19,2.000000e-01,2.048390e+17
1.751141e+01,3.544676e-19,7,1.339762e-19,2.000000e-01,3.246479e+17
1.771141e+01,9.585169e-20,3,5.534000e-20,2.000000e-01,5.145323e+17
1.791141e+01,1.007972e-19,5,4.507789e-20,2.000000e-01,8.154787e+17
1.811141e+01,5.087899e-20,4,2.543950e-20,2.000000e-01,1.292447e+18
1.831141e+01,4.012809e-20,5,1.794583e-20,2.000000e-01,2.048390e+18
1.851141e+01,3.038294e-20,6,1.240378e-20,2.000000e-01,3.246479e+18
1.871141e+01,1.597528e-20,5,7.144363e-21,2.000000e-01,5.145323e+18
1.891141e+01,1.209567e-20,6,4.938035e-21,2.000000e-01,8.154787e+18
1.911141e+01,7.631849e-21,6,3.115689e-21,2.000000e-01,1.292447e+19
1.931141e+01,6.420495e-21,8,2.269988e-21,2.000000e-01,2.048390e+19
1.951141e+01,5.063823e-22,1,5.063823e-22,2.000000e-01,3.246479e+19
1.971141e+01,3.195056e-22,1,3.195056e-22,2.000000e-01,5.145323e+19
1.991141e+01,6.047833e-22,3,3.491718e-22,2.000000e-01,8.154787e+19
2.011141e+01,2.543950e-22,2,1.798844e-22,2.000000e-01,1.292447e+20
2.031141e+01,4.012809e-22,5,1.794583e-22,2.000000e-01,2.048390e+20
2.051141e+01,5.063823e-23,1,5.063823e-23,2.000000e-01,3.246479e+20
2.071141e+01,9.585169e-23,3,5.534000e-23,2.000000e-01,5.145323e+20
2.091141e+01,2.015944e-23,1,2.015944e-23,2.000000e-01,8.154787e+20
2.111141e+01,1.271975e-23,1,1.271975e-23,2.000000e-01,1.292447e+21
2.131141e+01,8.025619e-24,1,8.025619e-24,2.000000e-01,2.048390e+21
2.151141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+21
2.191141e+01,0.000000e+00,0,,2.000000e-01,8.154787e+21
2.211141e+01,0.000000e+00,0,,2.000000e-01,1.292447e+22
2.231141e+01,0.000000e+00,0,,2.000000e-01,2.048390e+22
2.251141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+22
2.271141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+22
