ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.737130e+05,6.996294e+04
HI 1215Å,117295,1.172950e+02,6.648068e-01,5.011649e+03,1.698698e+00
