k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
0.000000e+00,2.515682e+01,1.212955e+02,1.212955e+00,1.314298e+01,8.141728e+01,8.141728e-01
2.541020e-03,2.168610e+01,2.446743e+01,2.446743e-01,1.016836e+01,1.515925e+01,1.515925e-01
5.082039e-03,1.633315e+01,1.773813e+01,1.773813e-01,7.732684e+00,9.954089e+00,9.954089e-02
7.623059e-03,1.425927e+01,1.480804e+01,1.480804e-01,6.766063e+00,8.166252e+00,8.166252e-02
1.016408e-02,1.213045e+01,1.302375e+01,1.302375e-01,5.915016e+00,7.267641e+00,7.267641e-02
1.270510e-02,1.103713e+01,1.154487e+01,1.154487e-01,5.330356e+00,6.358517e+00,6.358517e-02
1.524612e-02,9.062582e+00,9.365324e+00,9.365324e-02,4.411204e+00,5.152894e+00,5.152894e-02
1.778714e-02,7.569113e+00,7.893795e+00,7.893795e-02,3.746149e+00,4.368053e+00,4.368053e-02
2.032816e-02,6.680463e+00,7.004014e+00,7.004014e-02,3.287525e+00,3.758813e+00,3.758813e-02
2.286918e-02,5.818754e+00,6.106877e+00,6.106877e-02,2.884005e+00,3.290714e+00,3.290714e-02
2.541020e-02,5.244833e+00,5.416335e+00,5.416335e-02,2.586714e+00,2.934262e+00,2.934262e-02
2.795122e-02,4.645789e+00,4.822146e+00,4.822146e-02,2.262579e+00,2.559419e+00,2.559419e-02
3.049224e-02,4.051809e+00,4.229531e+00,4.229531e-02,1.995299e+00,2.285444e+00,2.285444e-02
3.303325e-02,3.532389e+00,3.693263e+00,3.693263e-02,1.708986e+00,1.931134e+00,1.931134e-02
3.557427e-02,3.135431e+00,3.268009e+00,3.268009e-02,1.510305e+00,1.702063e+00,1.702063e-02
3.811529e-02,2.692031e+00,2.761787e+00,2.761787e-02,1.291063e+00,1.443233e+00,1.443233e-02
4.065631e-02,2.453397e+00,2.628903e+00,2.628903e-02,1.157427e+00,1.310506e+00,1.310506e-02
4.319733e-02,2.197662e+00,2.324821e+00,2.324821e-02,1.038410e+00,1.146561e+00,1.146561e-02
4.573835e-02,1.994078e+00,2.119651e+00,2.119651e-02,9.238890e-01,1.032841e+00,1.032841e-02
4.827937e-02,1.697368e+00,1.773338e+00,1.773338e-02,7.736905e-01,8.434761e-01,8.434761e-03
5.082039e-02,1.544639e+00,1.616245e+00,1.616245e-02,7.009123e-01,7.749391e-01,7.749391e-03
5.336141e-02,1.383095e+00,1.437898e+00,1.437898e-02,6.190165e-01,6.687273e-01,6.687273e-03
5.590243e-02,1.243791e+00,1.300243e+00,1.300243e-02,5.526804e-01,6.043557e-01,6.043557e-03
5.844345e-02,1.129013e+00,1.210216e+00,1.210216e-02,4.946440e-01,5.490548e-01,5.490548e-03
6.098447e-02,9.763157e-01,1.020785e+00,1.020785e-02,4.218564e-01,4.572935e-01,4.572935e-03
6.352549e-02,8.917627e-01,9.509869e-01,9.509869e-03,3.866049e-01,4.216721e-01,4.216721e-03
6.606651e-02,7.840953e-01,8.435309e-01,8.435309e-03,3.358199e-01,3.654377e-01,3.654377e-03
6.860753e-02,7.048852e-01,7.477941e-01,7.477941e-03,2.983427e-01,3.248395e-01,3.248395e-03
7.114855e-02,6.234407e-01,6.526397e-01,6.526397e-03,2.663998e-01,2.887895e-01,2.887895e-03
7.368957e-02,5.763118e-01,6.104202e-01,6.104202e-03,2.382239e-01,2.573462e-01,2.573462e-03
7.623059e-02,5.165288e-01,5.331356e-01,5.331356e-03,2.122330e-01,2.286754e-01,2.286754e-03
7.877161e-02,4.559097e-01,4.774267e-01,4.774267e-03,1.867608e-01,2.000856e-01,2.000856e-03
8.131263e-02,4.109111e-01,4.289270e-01,4.289270e-03,1.667697e-01,1.792347e-01,1.792347e-03
8.385365e-02,3.700158e-01,3.914307e-01,3.914307e-03,1.508030e-01,1.633263e-01,1.633263e-03
8.639467e-02,3.316057e-01,3.509711e-01,3.509711e-03,1.334601e-01,1.469642e-01,1.469642e-03
8.893569e-02,3.019728e-01,3.187097e-01,3.187097e-03,1.199041e-01,1.311498e-01,1.311498e-03
