ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10057,1.005700e+01,9.999926e-01,9.534260e+03,1.334860e+03
HI 1215Å,8065,8.065000e+00,1.815047e-02,8.368162e+03,1.015584e+00
