statistic,value
mean_flux,0.7975526900773987
median_flux,0.9397311210632324
std_flux,0.2878155625958083
min_flux,2.9382650407717056e-39
max_flux,0.9997340440750122
mean_tau,1778.2415497374893
median_tau,0.06216150522232056
effective_tau,0.2262073774430329
deep_absorption_frac,0.06665102923929309
moderate_absorption_frac,0.0860329760990011
weak_absorption_frac,0.8473159946617058
tau_eff_err,0.0022894659945733573
tau_eff_std,0.22894659945733575
mean_flux_err,0.000840624183131461
mean_flux_std,0.0840624183131461
n_sightlines,10000.0
tau_eff_obs_target,0.12714278068007295
mean_flux_target,0.8806079298214535
tau_scale_factor,0.3742628774710252
tau_eff_H_total,203.33827975187674
hi_fraction_eff,0.0011124682353269128
