k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err
0.000000e+00,1.602266e+01,9.584025e+01,9.584025e-01
2.673387e-03,1.261298e+01,1.778666e+01,1.778666e-01
5.346774e-03,1.117043e+01,1.309814e+01,1.309814e-01
8.020162e-03,9.098768e+00,1.059423e+01,1.059423e-01
1.069355e-02,8.056117e+00,8.881757e+00,8.881757e-02
1.336694e-02,6.879122e+00,7.565574e+00,7.565574e-02
1.604032e-02,5.981344e+00,6.427146e+00,6.427146e-02
1.871371e-02,4.870932e+00,5.310389e+00,5.310389e-02
2.138710e-02,4.346946e+00,4.654182e+00,4.654182e-02
2.406048e-02,3.778625e+00,4.110461e+00,4.110461e-02
2.673387e-02,3.145700e+00,3.366528e+00,3.366528e-02
2.940726e-02,2.705968e+00,2.992133e+00,2.992133e-02
3.208065e-02,2.402356e+00,2.590561e+00,2.590561e-02
3.475403e-02,2.110412e+00,2.307759e+00,2.307759e-02
3.742742e-02,1.838242e+00,2.006221e+00,2.006221e-02
4.010081e-02,1.602227e+00,1.695921e+00,1.695921e-02
4.277419e-02,1.413749e+00,1.530722e+00,1.530722e-02
4.544758e-02,1.253361e+00,1.348121e+00,1.348121e-02
4.812097e-02,1.081486e+00,1.144190e+00,1.144190e-02
5.079436e-02,9.789669e-01,1.060855e+00,1.060855e-02
5.346774e-02,8.560044e-01,9.285127e-01,9.285127e-03
5.614113e-02,7.574541e-01,8.250312e-01,8.250312e-03
5.881452e-02,6.763892e-01,7.252979e-01,7.252979e-03
6.148791e-02,5.957139e-01,6.429477e-01,6.429477e-03
6.416129e-02,5.181745e-01,5.682878e-01,5.682878e-03
6.683468e-02,4.702519e-01,5.074627e-01,5.074627e-03
6.950807e-02,4.171953e-01,4.502330e-01,4.502330e-03
7.218145e-02,3.709879e-01,3.970625e-01,3.970625e-03
7.485484e-02,3.279584e-01,3.558671e-01,3.558671e-03
7.752823e-02,2.986219e-01,3.231690e-01,3.231690e-03
8.020162e-02,2.565960e-01,2.730587e-01,2.730587e-03
8.287500e-02,2.277449e-01,2.434367e-01,2.434367e-03
8.554839e-02,2.031941e-01,2.203139e-01,2.203139e-03
8.822178e-02,1.832685e-01,1.989389e-01,1.989389e-03
9.089516e-02,1.628249e-01,1.774437e-01,1.774437e-03
9.356855e-02,1.431297e-01,1.498011e-01,1.498011e-03
9.624194e-02,1.300223e-01,1.386852e-01,1.386852e-03
9.891533e-02,1.146168e-01,1.246818e-01,1.246818e-03
1.015887e-01,1.011839e-01,1.100680e-01,1.100680e-03
1.042621e-01,9.186570e-02,9.883690e-02,9.883690e-04
1.069355e-01,8.214156e-02,8.862902e-02,8.862902e-04
1.096089e-01,7.255059e-02,7.945894e-02,7.945894e-04
1.122823e-01,6.431310e-02,6.866847e-02,6.866847e-04
1.149556e-01,5.673853e-02,6.157108e-02,6.157108e-04
1.176290e-01,5.037083e-02,5.367778e-02,5.367778e-04
1.203024e-01,4.538802e-02,4.898328e-02,4.898328e-04
1.229758e-01,4.042288e-02,4.317667e-02,4.317667e-04
1.256492e-01,3.666937e-02,3.988675e-02,3.988675e-04
1.283226e-01,3.242169e-02,3.561917e-02,3.561917e-04
1.309960e-01,2.853492e-02,3.092727e-02,3.092727e-04
1.336694e-01,2.615019e-02,2.839452e-02,2.839452e-04
1.363427e-01,2.234978e-02,2.470213e-02,2.470213e-04
1.390161e-01,2.024251e-02,2.233826e-02,2.233826e-04
1.416895e-01,1.837418e-02,2.033034e-02,2.033034e-04
1.443629e-01,1.610561e-02,1.752407e-02,1.752407e-04
1.470363e-01,1.467604e-02,1.630840e-02,1.630840e-04
1.497097e-01,1.323445e-02,1.518408e-02,1.518408e-04
1.523831e-01,1.187876e-02,1.345982e-02,1.345982e-04
1.550565e-01,1.060918e-02,1.190925e-02,1.190925e-04
1.577298e-01,9.482492e-03,1.060704e-02,1.060704e-04
1.604032e-01,8.337943e-03,9.423653e-03,9.423653e-05
1.630766e-01,7.664732e-03,8.603266e-03,8.603266e-05
1.657500e-01,6.735806e-03,7.744269e-03,7.744269e-05
1.684234e-01,6.149310e-03,7.165796e-03,7.165796e-05
1.710968e-01,5.363263e-03,6.190328e-03,6.190328e-05
1.737702e-01,4.799323e-03,5.496133e-03,5.496133e-05
1.764436e-01,4.336432e-03,5.044455e-03,5.044455e-05
1.791169e-01,3.850446e-03,4.461085e-03,4.461085e-05
1.817903e-01,3.427080e-03,4.043238e-03,4.043238e-05
1.844637e-01,3.086937e-03,3.610575e-03,3.610575e-05
1.871371e-01,2.811654e-03,3.330694e-03,3.330694e-05
1.898105e-01,2.517055e-03,3.029694e-03,3.029694e-05
1.924839e-01,2.237482e-03,2.717188e-03,2.717188e-05
1.951573e-01,1.997540e-03,2.387830e-03,2.387830e-05
1.978307e-01,1.795225e-03,2.189595e-03,2.189595e-05
2.005040e-01,1.638298e-03,2.012649e-03,2.012649e-05
2.031774e-01,1.463894e-03,1.807034e-03,1.807034e-05
2.058508e-01,1.335932e-03,1.679508e-03,1.679508e-05
2.085242e-01,1.200173e-03,1.441388e-03,1.441388e-05
2.111976e-01,1.086757e-03,1.406094e-03,1.406094e-05
2.138710e-01,9.724962e-04,1.242435e-03,1.242435e-05
2.165444e-01,8.826424e-04,1.107082e-03,1.107082e-05
2.192177e-01,7.816990e-04,9.900720e-04,9.900720e-06
2.218911e-01,7.089184e-04,9.103586e-04,9.103586e-06
2.245645e-01,6.483495e-04,8.816224e-04,8.816224e-06
2.272379e-01,5.749189e-04,7.765099e-04,7.765099e-06
2.299113e-01,5.169068e-04,6.919412e-04,6.919412e-06
2.325847e-01,4.716576e-04,6.718981e-04,6.718981e-06
2.352581e-01,4.296310e-04,6.373809e-04,6.373809e-06
2.379315e-01,3.870149e-04,5.690370e-04,5.690370e-06
2.406048e-01,3.436602e-04,4.954735e-04,4.954735e-06
2.432782e-01,3.131384e-04,4.532584e-04,4.532584e-06
2.459516e-01,2.810359e-04,4.115752e-04,4.115752e-06
2.486250e-01,2.564441e-04,3.874309e-04,3.874309e-06
2.512984e-01,2.307388e-04,3.548185e-04,3.548185e-06
2.539718e-01,2.109396e-04,3.428407e-04,3.428407e-06
2.566452e-01,1.872066e-04,3.000422e-04,3.000422e-06
2.593186e-01,1.717357e-04,2.948611e-04,2.948611e-06
2.619919e-01,1.556487e-04,2.584740e-04,2.584740e-06
2.646653e-01,1.438220e-04,2.501926e-04,2.501926e-06
2.673387e-01,1.281574e-04,2.207351e-04,2.207351e-06
2.700121e-01,1.203020e-04,2.140108e-04,2.140108e-06
2.726855e-01,1.063861e-04,1.908240e-04,1.908240e-06
2.753589e-01,9.912936e-05,1.863614e-04,1.863614e-06
2.780323e-01,8.804625e-05,1.675928e-04,1.675928e-06
2.807057e-01,7.908442e-05,1.590306e-04,1.590306e-06
2.833790e-01,7.308147e-05,1.549658e-04,1.549658e-06
2.860524e-01,6.751205e-05,1.488799e-04,1.488799e-06
2.887258e-01,6.096315e-05,1.378438e-04,1.378438e-06
2.913992e-01,5.570838e-05,1.272176e-04,1.272176e-06
2.940726e-01,5.127498e-05,1.214614e-04,1.214614e-06
2.967460e-01,4.671907e-05,1.154011e-04,1.154011e-06
2.994194e-01,4.217864e-05,1.024781e-04,1.024781e-06
3.020928e-01,3.872706e-05,9.821870e-05,9.821870e-07
3.047661e-01,3.546339e-05,9.344725e-05,9.344725e-07
3.074395e-01,3.298882e-05,9.015256e-05,9.015256e-07
3.101129e-01,2.974796e-05,7.915233e-05,7.915233e-07
3.127863e-01,2.690146e-05,7.193121e-05,7.193121e-07
3.154597e-01,2.547632e-05,7.427127e-05,7.427127e-07
3.181331e-01,2.281088e-05,6.898869e-05,6.898869e-07
3.208065e-01,2.142053e-05,6.784307e-05,6.784307e-07
3.234798e-01,1.937836e-05,6.202946e-05,6.202946e-07
3.261532e-01,1.801528e-05,6.080165e-05,6.080165e-07
3.288266e-01,1.677941e-05,5.882646e-05,5.882646e-07
3.315000e-01,1.551396e-05,5.795712e-05,5.795712e-07
3.341734e-01,1.442482e-05,5.344744e-05,5.344744e-07
3.368468e-01,1.335085e-05,5.087105e-05,5.087105e-07
3.395202e-01,1.224276e-05,4.711561e-05,4.711561e-07
3.421936e-01,1.128290e-05,4.380319e-05,4.380319e-07
3.448669e-01,1.051045e-05,4.206280e-05,4.206280e-07
3.475403e-01,9.716648e-06,3.924534e-05,3.924534e-07
3.502137e-01,8.905322e-06,3.605776e-05,3.605776e-07
3.528871e-01,8.388740e-06,3.450452e-05,3.450452e-07
3.555605e-01,7.856094e-06,3.302034e-05,3.302034e-07
3.582339e-01,7.398670e-06,3.222351e-05,3.222351e-07
3.609073e-01,6.858620e-06,3.043384e-05,3.043384e-07
3.635807e-01,6.302874e-06,2.895030e-05,2.895030e-07
3.662540e-01,6.023747e-06,2.916649e-05,2.916649e-07
3.689274e-01,5.580969e-06,2.788054e-05,2.788054e-07
3.716008e-01,5.246325e-06,2.765011e-05,2.765011e-07
3.742742e-01,4.917905e-06,2.708715e-05,2.708715e-07
3.769476e-01,4.626048e-06,2.597873e-05,2.597873e-07
3.796210e-01,4.377936e-06,2.528898e-05,2.528898e-07
3.822944e-01,4.010603e-06,2.354746e-05,2.354746e-07
3.849678e-01,3.787490e-06,2.232423e-05,2.232423e-07
3.876411e-01,3.521208e-06,2.092134e-05,2.092134e-07
