ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,7.043931e+04,1.845659e+04
HI 1215Å,44972,4.497200e+01,1.295039e-01,6.999681e+03,1.327256e+00
