ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.129167e+05,3.901217e+04
HI 1215Å,92011,9.201100e+01,2.748711e-01,4.475920e+03,1.641905e+00
