ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,9.120043e+04,2.707511e+04
HI 1215Å,65094,6.509400e+01,1.871455e-01,9.473917e+03,1.466093e+00
