statistic,value
mean_flux,0.9566129515506775
median_flux,0.9976457953453064
std_flux,0.1357146737129552
min_flux,2.9382650407717056e-39
max_flux,1.0
mean_tau,534.269611149069
median_tau,0.0023569967597723007
effective_tau,0.04435640867781614
deep_absorption_frac,0.007830951220592797
moderate_absorption_frac,0.016781595853085817
weak_absorption_frac,0.9753874529263213
tau_eff_err,0.0013506271256312871
tau_eff_std,0.1350627125631287
mean_flux_err,0.000485114284408044
mean_flux_std,0.0485114284408044
n_sightlines,10000.0
tau_eff_obs_target,
mean_flux_target,
tau_scale_factor,
tau_eff_H_total,13.24531033393817
hi_fraction_eff,0.003348838729427
