ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.802350e+04,2.720107e+03
HI 1215Å,14074,1.407400e+01,3.611827e-02,1.833164e+04,1.093864e+00
