ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.118883e+05,3.710870e+04
HI 1215Å,86200,8.620000e+01,2.602623e-01,4.615309e+03,1.655350e+00
