k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
0.000000e+00,6.658809e+01,1.706300e+02,1.706300e+00,3.786991e+01,1.203721e+02,1.203721e+00
2.253923e-03,6.505148e+01,6.284638e+01,6.284638e-01,3.766547e+01,3.886723e+01,3.886723e-01
4.507846e-03,4.575700e+01,4.386959e+01,4.386959e-01,2.698929e+01,2.646507e+01,2.646507e-01
6.761769e-03,3.743326e+01,3.544669e+01,3.544669e-01,2.211717e+01,2.128855e+01,2.128855e-01
9.015691e-03,3.218690e+01,3.250284e+01,3.250284e-01,1.921980e+01,1.972775e+01,1.972775e-01
1.126961e-02,2.694203e+01,2.765759e+01,2.765759e-01,1.632613e+01,1.706184e+01,1.706184e-01
1.352354e-02,2.388620e+01,2.360365e+01,2.360365e-01,1.435983e+01,1.455898e+01,1.455898e-01
1.577746e-02,2.065729e+01,2.067371e+01,2.067371e-01,1.249624e+01,1.266683e+01,1.266683e-01
1.803138e-02,1.789744e+01,1.799523e+01,1.799523e-01,1.096791e+01,1.122029e+01,1.122029e-01
2.028531e-02,1.669400e+01,1.694468e+01,1.694468e-01,1.034697e+01,1.062002e+01,1.062002e-01
2.253923e-02,1.437600e+01,1.443295e+01,1.443295e-01,8.919245e+00,9.138654e+00,9.138654e-02
2.479315e-02,1.265691e+01,1.272165e+01,1.272165e-01,7.875698e+00,8.064821e+00,8.064821e-02
2.704707e-02,1.142450e+01,1.145293e+01,1.145293e-01,7.111510e+00,7.230786e+00,7.230786e-02
2.930100e-02,1.034522e+01,1.041959e+01,1.041959e-01,6.411746e+00,6.491499e+00,6.491499e-02
3.155492e-02,9.202132e+00,9.362485e+00,9.362485e-02,5.746259e+00,5.832336e+00,5.832336e-02
3.380884e-02,8.410087e+00,8.508362e+00,8.508362e-02,5.218718e+00,5.329396e+00,5.329396e-02
3.606277e-02,7.501906e+00,7.570138e+00,7.570138e-02,4.618423e+00,4.655886e+00,4.655886e-02
3.831669e-02,6.793831e+00,6.857045e+00,6.857045e-02,4.180809e+00,4.282018e+00,4.282018e-02
4.057061e-02,6.044688e+00,6.242055e+00,6.242055e-02,3.794155e+00,3.895004e+00,3.895004e-02
4.282453e-02,5.541553e+00,5.692925e+00,5.692925e-02,3.423158e+00,3.500268e+00,3.500268e-02
4.507846e-02,5.000708e+00,5.111459e+00,5.111459e-02,3.062317e+00,3.100711e+00,3.100711e-02
4.733238e-02,4.595799e+00,4.690063e+00,4.690063e-02,2.827938e+00,2.916788e+00,2.916788e-02
4.958630e-02,4.161945e+00,4.272069e+00,4.272069e-02,2.586622e+00,2.672531e+00,2.672531e-02
5.184023e-02,3.652008e+00,3.737609e+00,3.737609e-02,2.265768e+00,2.309736e+00,2.309736e-02
5.409415e-02,3.381506e+00,3.462396e+00,3.462396e-02,2.087756e+00,2.144816e+00,2.144816e-02
5.634807e-02,3.029124e+00,3.129305e+00,3.129305e-02,1.876062e+00,1.938224e+00,1.938224e-02
5.860199e-02,2.793792e+00,2.969026e+00,2.969026e-02,1.732277e+00,1.809634e+00,1.809634e-02
6.085592e-02,2.545710e+00,2.672280e+00,2.672280e-02,1.594047e+00,1.650835e+00,1.650835e-02
6.310984e-02,2.276729e+00,2.342736e+00,2.342736e-02,1.410088e+00,1.440954e+00,1.440954e-02
6.536376e-02,2.095964e+00,2.148731e+00,2.148731e-02,1.307205e+00,1.346213e+00,1.346213e-02
6.761769e-02,1.942892e+00,2.028627e+00,2.028627e-02,1.199297e+00,1.247042e+00,1.247042e-02
6.987161e-02,1.733369e+00,1.811732e+00,1.811732e-02,1.076580e+00,1.135014e+00,1.135014e-02
