ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,2.061954e+05,9.063359e+04
HI 1215Å,74969,7.496900e+01,9.008391e-01,4.574726e+03,2.204176e+00
