# n_pixels = 308910000
# n_bins = 50
# grid = fixed, [0, 1]
# density: normalised so sum(density * bin_width) = 1
# density_err: Poisson, sqrt(count) / (n_pixels * bin_width)
#
flux_bin_center,flux_bin_low,flux_bin_high,density,density_err,count
1.000000e-02,0.000000e+00,2.000000e-02,1.528312e+01,1.572806e-03,94422174
3.000000e-02,2.000000e-02,4.000000e-02,2.092371e+00,5.819536e-04,12927086
5.000000e-02,4.000000e-02,6.000000e-02,1.605824e+00,5.098213e-04,9921103
7.000000e-02,6.000000e-02,8.000000e-02,1.382283e+00,4.730068e-04,8540018
9.000000e-02,8.000000e-02,1.000000e-01,1.250644e+00,4.499206e-04,7726728
1.100000e-01,1.000000e-01,1.200000e-01,1.162083e+00,4.336982e-04,7179581
1.300000e-01,1.200000e-01,1.400000e-01,1.103482e+00,4.226216e-04,6817534
1.500000e-01,1.400000e-01,1.600000e-01,1.063959e+00,4.149842e-04,6573354
1.700000e-01,1.600000e-01,1.800000e-01,1.031899e+00,4.086841e-04,6375281
1.900000e-01,1.800000e-01,2.000000e-01,1.013171e+00,4.049585e-04,6259576
2.100000e-01,2.000000e-01,2.200000e-01,9.892953e-01,4.001584e-04,6112064
2.300000e-01,2.200000e-01,2.400000e-01,9.720828e-01,3.966620e-04,6005722
2.500000e-01,2.400000e-01,2.600000e-01,9.616328e-01,3.945242e-04,5941160
2.700000e-01,2.600000e-01,2.800000e-01,9.493459e-01,3.919957e-04,5865249
2.900000e-01,2.800000e-01,3.000000e-01,9.398524e-01,3.900307e-04,5806596
3.100000e-01,3.000000e-01,3.200000e-01,9.303156e-01,3.880469e-04,5747676
3.300000e-01,3.200000e-01,3.400000e-01,9.203287e-01,3.859584e-04,5685975
3.500000e-01,3.400000e-01,3.600000e-01,9.127623e-01,3.843686e-04,5639228
3.700000e-01,3.600000e-01,3.800000e-01,9.034895e-01,3.824112e-04,5581939
3.900000e-01,3.800000e-01,4.000000e-01,8.956167e-01,3.807414e-04,5533299
4.100000e-01,4.000000e-01,4.200000e-01,8.898996e-01,3.795243e-04,5497978
4.300000e-01,4.200000e-01,4.400000e-01,8.772133e-01,3.768093e-04,5419599
4.500000e-01,4.400000e-01,4.600000e-01,8.678656e-01,3.747963e-04,5361847
4.700000e-01,4.600000e-01,4.800000e-01,8.550866e-01,3.720267e-04,5282896
4.900000e-01,4.800000e-01,5.000000e-01,8.413711e-01,3.690310e-04,5198159
5.100000e-01,5.000000e-01,5.200000e-01,8.267714e-01,3.658152e-04,5107959
5.300000e-01,5.200000e-01,5.400000e-01,8.050563e-01,3.609792e-04,4973799
5.500000e-01,5.400000e-01,5.600000e-01,7.830779e-01,3.560176e-04,4838012
5.700000e-01,5.600000e-01,5.800000e-01,7.592613e-01,3.505618e-04,4690868
5.900000e-01,5.800000e-01,6.000000e-01,7.332348e-01,3.445010e-04,4530071
6.100000e-01,6.000000e-01,6.200000e-01,7.012476e-01,3.369029e-04,4332448
6.300000e-01,6.200000e-01,6.400000e-01,6.670414e-01,3.285832e-04,4121115
6.500000e-01,6.400000e-01,6.600000e-01,6.241935e-01,3.178547e-04,3856392
6.700000e-01,6.600000e-01,6.800000e-01,5.803579e-01,3.064905e-04,3585567
6.900000e-01,6.800000e-01,7.000000e-01,5.263604e-01,2.918842e-04,3251960
7.100000e-01,7.000000e-01,7.200000e-01,4.715056e-01,2.762565e-04,2913056
7.300000e-01,7.200000e-01,7.400000e-01,4.199539e-01,2.607173e-04,2594559
7.500000e-01,7.400000e-01,7.600000e-01,3.622596e-01,2.421469e-04,2238112
7.700000e-01,7.600000e-01,7.800000e-01,3.027322e-01,2.213596e-04,1870340
7.900000e-01,7.800000e-01,8.000000e-01,2.433889e-01,1.984812e-04,1503705
8.100000e-01,8.000000e-01,8.200000e-01,1.851691e-01,1.731224e-04,1144012
8.300000e-01,8.200000e-01,8.400000e-01,1.326359e-01,1.465209e-04,819451
8.500000e-01,8.400000e-01,8.600000e-01,8.792075e-02,1.192929e-04,543192
8.700000e-01,8.600000e-01,8.800000e-01,5.117866e-02,9.101511e-05,316192
8.900000e-01,8.800000e-01,9.000000e-01,2.660548e-02,6.562278e-05,164374
9.100000e-01,9.000000e-01,9.200000e-01,1.100677e-02,4.220840e-05,68002
9.300000e-01,9.200000e-01,9.400000e-01,3.164676e-03,2.263256e-05,19552
9.500000e-01,9.400000e-01,9.600000e-01,6.811045e-04,1.049968e-05,4208
9.700000e-01,9.600000e-01,9.800000e-01,1.854909e-04,5.479366e-06,1146
9.900000e-01,9.800000e-01,1.000000e+00,1.391991e-05,1.501023e-06,86
