k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
0.000000e+00,1.921020e+02,2.964921e+02,2.964921e+00,8.121484e+01,1.540340e+02,1.540340e+00
2.033942e-03,1.981062e+02,1.942058e+02,1.942058e+00,8.977154e+01,8.385830e+01,8.385830e-01
4.067884e-03,1.496177e+02,1.441943e+02,1.441943e+00,6.715567e+01,6.074952e+01,6.074952e-01
6.101825e-03,1.275983e+02,1.313072e+02,1.313072e+00,5.606606e+01,5.534421e+01,5.534421e-01
8.135767e-03,1.166589e+02,1.201105e+02,1.201105e+00,5.212173e+01,5.030453e+01,5.030453e-01
1.016971e-02,9.606122e+01,9.805007e+01,9.805007e-01,4.295018e+01,4.158474e+01,4.158474e-01
1.220365e-02,8.305236e+01,8.596632e+01,8.596632e-01,3.686271e+01,3.738349e+01,3.738349e-01
1.423759e-02,7.334406e+01,7.326920e+01,7.326920e-01,3.275443e+01,3.214272e+01,3.214272e-01
1.627153e-02,6.472827e+01,6.706077e+01,6.706077e-01,2.915498e+01,2.927089e+01,2.927089e-01
1.830548e-02,5.869086e+01,5.876430e+01,5.876430e-01,2.641723e+01,2.567638e+01,2.567638e-01
2.033942e-02,5.150981e+01,5.355733e+01,5.355733e-01,2.353742e+01,2.375466e+01,2.375466e-01
2.237336e-02,4.628110e+01,4.728801e+01,4.728801e-01,2.148254e+01,2.118247e+01,2.118247e-01
2.440730e-02,4.095819e+01,4.113050e+01,4.113050e-01,1.924369e+01,1.923594e+01,1.923594e-01
2.644124e-02,3.678545e+01,3.800216e+01,3.800216e-01,1.705792e+01,1.716684e+01,1.716684e-01
2.847519e-02,3.328847e+01,3.380023e+01,3.380023e-01,1.587392e+01,1.576354e+01,1.576354e-01
3.050913e-02,2.985767e+01,3.064643e+01,3.064643e-01,1.430804e+01,1.433848e+01,1.433848e-01
3.254307e-02,2.628547e+01,2.710774e+01,2.710774e-01,1.266665e+01,1.285111e+01,1.285111e-01
3.457701e-02,2.414364e+01,2.520509e+01,2.520509e-01,1.174102e+01,1.202397e+01,1.202397e-01
3.661095e-02,2.227429e+01,2.301018e+01,2.301018e-01,1.079181e+01,1.093498e+01,1.093498e-01
3.864489e-02,1.966944e+01,2.094323e+01,2.094323e-01,9.667944e+00,9.855884e+00,9.855884e-02
4.067884e-02,1.795206e+01,1.880043e+01,1.880043e-01,8.934013e+00,9.036235e+00,9.036235e-02
4.271278e-02,1.609342e+01,1.700504e+01,1.700504e-01,8.176009e+00,8.272145e+00,8.272145e-02
4.474672e-02,1.452540e+01,1.525131e+01,1.525131e-01,7.333390e+00,7.495731e+00,7.495731e-02
4.678066e-02,1.332306e+01,1.370113e+01,1.370113e-01,6.820022e+00,6.922429e+00,6.922429e-02
4.881460e-02,1.211819e+01,1.272890e+01,1.272890e-01,6.288045e+00,6.320874e+00,6.320874e-02
5.084854e-02,1.101193e+01,1.202152e+01,1.202152e-01,5.675416e+00,5.989983e+00,5.989983e-02
5.288249e-02,9.939184e+00,1.055010e+01,1.055010e-01,5.201941e+00,5.330584e+00,5.330584e-02
5.491643e-02,9.163324e+00,1.003226e+01,1.003226e-01,4.880318e+00,5.134083e+00,5.134083e-02
5.695037e-02,8.263777e+00,8.919864e+00,8.919864e-02,4.416858e+00,4.629687e+00,4.629687e-02
5.898431e-02,7.477713e+00,7.944704e+00,7.944704e-02,4.025479e+00,4.114986e+00,4.114986e-02
6.101825e-02,6.680963e+00,7.158471e+00,7.158471e-02,3.644362e+00,3.764363e+00,3.764363e-02
6.305220e-02,6.065436e+00,6.563093e+00,6.563093e-02,3.295243e+00,3.481392e+00,3.481392e-02
6.508614e-02,5.520381e+00,5.853699e+00,5.853699e-02,3.054938e+00,3.127949e+00,3.127949e-02
6.712008e-02,5.039644e+00,5.458906e+00,5.458906e-02,2.789116e+00,2.910243e+00,2.910243e-02
6.915402e-02,4.635457e+00,5.058835e+00,5.058835e-02,2.582703e+00,2.710050e+00,2.710050e-02
7.118796e-02,4.165629e+00,4.603913e+00,4.603913e-02,2.359213e+00,2.516015e+00,2.516015e-02
7.322190e-02,3.759695e+00,4.057904e+00,4.057904e-02,2.114033e+00,2.226684e+00,2.226684e-02
7.525585e-02,3.375025e+00,3.573803e+00,3.573803e-02,1.910982e+00,1.968455e+00,1.968455e-02
7.728979e-02,3.199120e+00,3.472415e+00,3.472415e-02,1.796337e+00,1.894988e+00,1.894988e-02
7.932373e-02,2.912854e+00,3.184464e+00,3.184464e-02,1.643327e+00,1.735897e+00,1.735897e-02
8.135767e-02,2.617754e+00,2.816330e+00,2.816330e-02,1.494823e+00,1.568069e+00,1.568069e-02
8.339161e-02,2.422004e+00,2.563614e+00,2.563614e-02,1.381594e+00,1.416096e+00,1.416096e-02
8.542556e-02,2.177609e+00,2.349193e+00,2.349193e-02,1.269819e+00,1.291758e+00,1.291758e-02
8.745950e-02,1.986687e+00,2.131292e+00,2.131292e-02,1.162218e+00,1.224917e+00,1.224917e-02
8.949344e-02,1.827764e+00,1.980823e+00,1.980823e-02,1.067790e+00,1.123662e+00,1.123662e-02
9.152738e-02,1.673954e+00,1.789930e+00,1.789930e-02,9.671431e-01,1.001508e+00,1.001508e-02
9.356132e-02,1.571646e+00,1.703264e+00,1.703264e-02,9.012352e-01,9.288245e-01,9.288245e-03
9.559526e-02,1.432280e+00,1.535983e+00,1.535983e-02,8.193569e-01,8.460311e-01,8.460311e-03
9.762921e-02,1.361653e+00,1.452919e+00,1.452919e-02,7.743641e-01,8.170616e-01,8.170616e-03
9.966315e-02,1.248320e+00,1.331840e+00,1.331840e-02,6.952963e-01,7.305592e-01,7.305592e-03
1.016971e-01,1.159172e+00,1.218438e+00,1.218438e-02,6.505038e-01,6.833982e-01,6.833982e-03
1.037310e-01,1.079752e+00,1.153516e+00,1.153516e-02,5.945802e-01,6.139108e-01,6.139108e-03
1.057650e-01,1.014260e+00,1.076079e+00,1.076079e-02,5.567970e-01,5.802052e-01,5.802052e-03
1.077989e-01,9.078962e-01,9.791267e-01,9.791267e-03,4.998294e-01,5.208153e-01,5.208153e-03
1.098329e-01,8.835766e-01,9.343949e-01,9.343949e-03,4.711746e-01,4.789009e-01,4.789009e-03
1.118668e-01,8.252354e-01,8.696391e-01,8.696391e-03,4.423781e-01,4.553267e-01,4.553267e-03
1.139007e-01,7.772252e-01,8.364882e-01,8.364882e-03,4.086030e-01,4.195051e-01,4.195051e-03
1.159347e-01,7.336253e-01,7.834373e-01,7.834373e-03,3.807465e-01,4.011860e-01,4.011860e-03
1.179686e-01,6.908483e-01,7.376257e-01,7.376257e-03,3.503490e-01,3.660586e-01,3.660586e-03
1.200026e-01,6.712073e-01,7.049555e-01,7.049555e-03,3.343331e-01,3.475396e-01,3.475396e-03
1.220365e-01,6.300921e-01,6.700613e-01,6.700613e-03,3.037352e-01,3.168745e-01,3.168745e-03
1.240704e-01,6.036246e-01,6.363304e-01,6.363304e-03,2.875202e-01,2.958699e-01,2.958699e-03
1.261044e-01,5.766855e-01,6.153374e-01,6.153374e-03,2.704053e-01,2.779360e-01,2.779360e-03
1.281383e-01,5.631290e-01,6.028095e-01,6.028095e-03,2.514327e-01,2.574287e-01,2.574287e-03
1.301723e-01,5.484850e-01,5.787977e-01,5.787977e-03,2.402784e-01,2.468587e-01,2.468587e-03
1.322062e-01,5.289322e-01,5.833379e-01,5.833379e-03,2.250081e-01,2.337939e-01,2.337939e-03
1.342402e-01,5.089884e-01,5.645469e-01,5.645469e-03,2.127864e-01,2.207361e-01,2.207361e-03
1.362741e-01,4.967529e-01,5.471582e-01,5.471582e-03,1.989868e-01,2.063038e-01,2.063038e-03
1.383080e-01,4.876303e-01,5.524014e-01,5.524014e-03,1.912580e-01,1.978518e-01,1.978518e-03
1.403420e-01,4.785614e-01,5.436215e-01,5.436215e-03,1.805460e-01,1.882722e-01,1.882722e-03
1.423759e-01,4.797637e-01,5.575417e-01,5.575417e-03,1.781552e-01,1.858199e-01,1.858199e-03
1.444099e-01,4.657820e-01,5.479362e-01,5.479362e-03,1.657756e-01,1.764987e-01,1.764987e-03
1.464438e-01,4.637369e-01,5.448278e-01,5.448278e-03,1.619890e-01,1.687554e-01,1.687554e-03
1.484778e-01,4.548797e-01,5.406615e-01,5.406615e-03,1.517023e-01,1.586575e-01,1.586575e-03
1.505117e-01,4.601361e-01,5.444844e-01,5.444844e-03,1.495653e-01,1.599852e-01,1.599852e-03
1.525456e-01,4.489795e-01,5.323901e-01,5.323901e-03,1.427596e-01,1.505378e-01,1.505378e-03
1.545796e-01,4.439848e-01,5.165811e-01,5.165811e-03,1.365126e-01,1.435775e-01,1.435775e-03
1.566135e-01,4.388628e-01,5.287900e-01,5.287900e-03,1.326392e-01,1.434740e-01,1.434740e-03
1.586475e-01,4.334411e-01,5.275220e-01,5.275220e-03,1.268931e-01,1.354972e-01,1.354972e-03
1.606814e-01,4.278724e-01,5.074633e-01,5.074633e-03,1.235564e-01,1.326327e-01,1.326327e-03
1.627153e-01,4.240250e-01,5.032153e-01,5.032153e-03,1.193428e-01,1.269011e-01,1.269011e-03
1.647493e-01,4.221544e-01,5.006194e-01,5.006194e-03,1.148009e-01,1.248913e-01,1.248913e-03
1.667832e-01,4.176498e-01,4.758868e-01,4.758868e-03,1.116959e-01,1.172028e-01,1.172028e-03
1.688172e-01,4.065422e-01,4.762845e-01,4.762845e-03,1.075041e-01,1.146547e-01,1.146547e-03
1.708511e-01,3.931444e-01,4.627053e-01,4.627053e-03,1.028770e-01,1.110523e-01,1.110523e-03
1.728851e-01,3.918095e-01,4.635305e-01,4.635305e-03,1.005733e-01,1.099403e-01,1.099403e-03
1.749190e-01,3.727294e-01,4.390129e-01,4.390129e-03,9.500428e-02,1.016933e-01,1.016933e-03
1.769529e-01,3.629807e-01,4.402778e-01,4.402778e-03,9.069884e-02,1.017848e-01,1.017848e-03
1.789869e-01,3.607114e-01,4.309748e-01,4.309748e-03,8.766920e-02,9.672055e-02,9.672055e-04
1.810208e-01,3.464519e-01,4.000748e-01,4.000748e-03,8.472989e-02,9.248181e-02,9.248181e-04
1.830548e-01,3.356312e-01,3.786754e-01,3.786754e-03,8.153625e-02,8.704872e-02,8.704872e-04
1.850887e-01,3.115110e-01,3.503188e-01,3.503188e-03,7.710165e-02,8.373162e-02,8.373162e-04
1.871226e-01,3.087818e-01,3.457974e-01,3.457974e-03,7.547130e-02,8.043572e-02,8.043572e-04
1.891566e-01,3.015592e-01,3.363696e-01,3.363696e-03,7.244791e-02,7.603019e-02,7.603019e-04
1.911905e-01,2.757700e-01,3.088972e-01,3.088972e-03,6.710231e-02,7.101810e-02,7.101810e-04
1.932245e-01,2.666650e-01,2.940845e-01,2.940845e-03,6.496598e-02,6.872406e-02,6.872406e-04
1.952584e-01,2.570662e-01,2.851054e-01,2.851054e-03,6.163332e-02,6.616243e-02,6.616243e-04
1.972924e-01,2.411150e-01,2.597449e-01,2.597449e-03,5.867214e-02,6.149974e-02,6.149974e-04
1.993263e-01,2.326562e-01,2.476096e-01,2.476096e-03,5.578702e-02,5.881411e-02,5.881411e-04
2.013602e-01,2.205087e-01,2.392847e-01,2.392847e-03,5.346894e-02,5.548259e-02,5.548259e-04
2.033942e-01,2.071458e-01,2.247275e-01,2.247275e-03,5.026455e-02,5.249462e-02,5.249462e-04
2.054281e-01,1.961511e-01,2.116512e-01,2.116512e-03,4.801180e-02,5.031869e-02,5.031869e-04
2.074621e-01,1.826086e-01,1.952124e-01,1.952124e-03,4.512450e-02,4.720830e-02,4.720830e-04
2.094960e-01,1.730058e-01,1.830769e-01,1.830769e-03,4.237202e-02,4.472308e-02,4.472308e-04
2.115299e-01,1.578753e-01,1.669617e-01,1.669617e-03,3.946946e-02,4.131294e-02,4.131294e-04
2.135639e-01,1.520529e-01,1.601505e-01,1.601505e-03,3.797497e-02,4.053899e-02,4.053899e-04
2.155978e-01,1.415777e-01,1.520336e-01,1.520336e-03,3.525865e-02,3.691112e-02,3.691112e-04
2.176318e-01,1.325679e-01,1.431213e-01,1.431213e-03,3.312645e-02,3.497305e-02,3.497305e-04
2.196657e-01,1.252496e-01,1.291405e-01,1.291405e-03,3.146715e-02,3.302517e-02,3.302517e-04
2.216997e-01,1.172420e-01,1.231318e-01,1.231318e-03,2.956158e-02,3.049532e-02,3.049532e-04
2.237336e-01,1.089374e-01,1.131666e-01,1.131666e-03,2.750768e-02,2.830193e-02,2.830193e-04
2.257675e-01,1.035157e-01,1.082683e-01,1.082683e-03,2.591349e-02,2.643887e-02,2.643887e-04
2.278015e-01,9.767254e-02,1.045508e-01,1.045508e-03,2.454663e-02,2.592940e-02,2.592940e-04
2.298354e-01,8.995169e-02,9.464000e-02,9.464000e-04,2.270045e-02,2.369641e-02,2.369641e-04
2.318694e-01,8.475883e-02,8.864184e-02,8.864184e-04,2.130279e-02,2.205731e-02,2.205731e-04
2.339033e-01,7.814871e-02,8.193865e-02,8.193865e-04,1.974620e-02,2.037444e-02,2.037444e-04
2.359372e-01,7.187316e-02,7.347674e-02,7.347674e-04,1.824036e-02,1.876876e-02,1.876876e-04
2.379712e-01,6.947262e-02,7.164310e-02,7.164310e-04,1.739573e-02,1.805638e-02,1.805638e-04
2.400051e-01,6.415541e-02,6.735989e-02,6.735989e-04,1.658958e-02,1.717549e-02,1.717549e-04
2.420391e-01,6.113491e-02,6.331521e-02,6.331521e-04,1.553593e-02,1.603424e-02,1.603424e-04
2.440730e-01,5.621750e-02,5.919756e-02,5.919756e-04,1.451530e-02,1.491713e-02,1.491713e-04
2.461070e-01,5.206866e-02,5.420878e-02,5.420878e-04,1.332543e-02,1.374066e-02,1.374066e-04
2.481409e-01,4.854042e-02,4.995218e-02,4.995218e-04,1.257983e-02,1.280505e-02,1.280505e-04
2.501748e-01,4.591965e-02,4.788683e-02,4.788683e-04,1.179499e-02,1.235776e-02,1.235776e-04
2.522088e-01,4.319971e-02,4.573320e-02,4.573320e-04,1.112872e-02,1.184366e-02,1.184366e-04
2.542427e-01,3.971999e-02,4.110159e-02,4.110159e-04,1.039351e-02,1.091809e-02,1.091809e-04
2.562767e-01,3.701688e-02,3.811981e-02,3.811981e-04,9.636063e-03,1.006343e-02,1.006343e-04
2.583106e-01,3.554733e-02,3.721939e-02,3.721939e-04,9.093586e-03,9.478841e-03,9.478841e-05
2.603446e-01,3.354381e-02,3.548306e-02,3.548306e-04,8.466901e-03,8.860815e-03,8.860815e-05
2.623785e-01,3.116943e-02,3.284670e-02,3.284670e-04,8.021497e-03,8.267250e-03,8.267250e-05
2.644124e-01,2.938226e-02,3.063932e-02,3.063932e-04,7.530816e-03,7.957226e-03,7.957226e-05
2.664464e-01,2.783364e-02,2.949104e-02,2.949104e-04,6.991505e-03,7.376566e-03,7.376566e-05
2.684803e-01,2.609834e-02,2.762956e-02,2.762956e-04,6.494584e-03,6.843304e-03,6.843304e-05
2.705143e-01,2.406500e-02,2.488396e-02,2.488396e-04,6.018201e-03,6.301289e-03,6.301289e-05
2.725482e-01,2.315077e-02,2.428361e-02,2.428361e-04,5.697387e-03,5.991434e-03,5.991434e-05
2.745821e-01,2.196961e-02,2.347401e-02,2.347401e-04,5.351971e-03,5.587615e-03,5.587615e-05
2.766161e-01,2.078445e-02,2.165390e-02,2.165390e-04,5.113683e-03,5.377503e-03,5.377503e-05
2.786500e-01,1.981292e-02,2.085388e-02,2.085388e-04,4.876296e-03,5.084173e-03,5.084173e-05
2.806840e-01,1.830161e-02,1.931685e-02,1.931685e-04,4.478181e-03,4.657143e-03,4.657143e-05
2.827179e-01,1.778924e-02,1.873943e-02,1.873943e-04,4.221013e-03,4.454928e-03,4.454928e-05
2.847519e-01,1.625201e-02,1.733311e-02,1.733311e-04,3.929137e-03,4.164711e-03,4.164711e-05
2.867858e-01,1.554670e-02,1.646472e-02,1.646472e-04,3.777689e-03,3.937347e-03,3.937347e-05
2.888197e-01,1.505544e-02,1.602499e-02,1.602499e-04,3.531510e-03,3.801842e-03,3.801842e-05
2.908537e-01,1.400622e-02,1.455664e-02,1.455664e-04,3.295554e-03,3.388839e-03,3.388839e-05
2.928876e-01,1.345675e-02,1.399590e-02,1.399590e-04,3.082862e-03,3.221528e-03,3.221528e-05
2.949216e-01,1.253019e-02,1.338910e-02,1.338910e-04,2.928150e-03,3.075988e-03,3.075988e-05
2.969555e-01,1.192170e-02,1.314216e-02,1.314216e-04,2.760347e-03,2.905380e-03,2.905380e-05
2.989894e-01,1.118853e-02,1.189644e-02,1.189644e-04,2.588745e-03,2.724456e-03,2.724456e-05
3.010234e-01,1.070812e-02,1.157571e-02,1.157571e-04,2.483408e-03,2.650830e-03,2.650830e-05
3.030573e-01,1.035629e-02,1.128949e-02,1.128949e-04,2.321976e-03,2.477072e-03,2.477072e-05
3.050913e-01,9.759829e-03,1.037573e-02,1.037573e-04,2.174952e-03,2.292421e-03,2.292421e-05
3.071252e-01,9.389037e-03,1.012093e-02,1.012093e-04,2.090562e-03,2.189781e-03,2.189781e-05
3.091592e-01,8.790465e-03,9.501627e-03,9.501627e-05,1.955810e-03,2.068452e-03,2.068452e-05
3.111931e-01,8.370433e-03,8.843812e-03,8.843812e-05,1.864535e-03,2.018340e-03,2.018340e-05
3.132270e-01,8.040418e-03,8.823008e-03,8.823008e-05,1.743630e-03,1.881240e-03,1.881240e-05
3.152610e-01,7.483332e-03,8.112750e-03,8.112750e-05,1.650575e-03,1.781013e-03,1.781013e-05
3.172949e-01,7.407680e-03,8.120776e-03,8.120776e-05,1.522056e-03,1.630383e-03,1.630383e-05
3.193289e-01,6.868378e-03,7.603232e-03,7.603232e-05,1.463351e-03,1.591553e-03,1.591553e-05
3.213628e-01,6.526332e-03,7.260121e-03,7.260121e-05,1.383365e-03,1.488436e-03,1.488436e-05
3.233967e-01,6.306669e-03,6.923719e-03,6.923719e-05,1.314292e-03,1.403621e-03,1.403621e-05
3.254307e-01,5.926519e-03,6.523190e-03,6.523190e-05,1.243822e-03,1.324448e-03,1.324448e-05
3.274646e-01,5.794258e-03,6.468940e-03,6.468940e-05,1.162756e-03,1.255945e-03,1.255945e-05
3.294986e-01,5.460782e-03,5.884318e-03,5.884318e-05,1.098976e-03,1.180385e-03,1.180385e-05
3.315325e-01,5.161291e-03,5.734696e-03,5.734696e-05,1.028086e-03,1.085666e-03,1.085666e-05
3.335665e-01,4.791845e-03,5.184394e-03,5.184394e-05,9.810100e-04,1.085694e-03,1.085694e-05
3.356004e-01,4.587006e-03,5.140583e-03,5.140583e-05,9.330448e-04,9.934623e-04,9.934623e-06
3.376343e-01,4.481262e-03,4.987681e-03,4.987681e-05,8.855181e-04,9.446166e-04,9.446166e-06
3.396683e-01,4.266942e-03,4.768676e-03,4.768676e-05,8.436509e-04,9.079494e-04,9.079494e-06
3.417022e-01,3.951013e-03,4.356482e-03,4.356482e-05,7.820769e-04,8.408951e-04,8.408951e-06
3.437362e-01,3.803297e-03,4.226938e-03,4.226938e-05,7.446409e-04,8.185248e-04,8.185248e-06
3.457701e-01,3.653338e-03,4.081207e-03,4.081207e-05,6.956200e-04,7.393108e-04,7.393108e-06
3.478040e-01,3.430880e-03,3.714911e-03,3.714911e-05,6.598468e-04,7.072077e-04,7.072077e-06
3.498380e-01,3.241846e-03,3.621327e-03,3.621327e-05,6.244587e-04,6.838953e-04,6.838953e-06
3.518719e-01,3.082551e-03,3.413970e-03,3.413970e-05,5.896915e-04,6.351191e-04,6.351191e-06
3.539059e-01,2.951952e-03,3.270362e-03,3.270362e-05,5.632126e-04,6.110142e-04,6.110142e-06
3.559398e-01,2.797339e-03,3.061355e-03,3.061355e-05,5.301499e-04,5.882536e-04,5.882536e-06
3.579738e-01,2.651149e-03,2.954535e-03,2.954535e-05,4.989809e-04,5.365042e-04,5.365042e-06
3.600077e-01,2.547878e-03,2.831818e-03,2.831818e-05,4.775080e-04,5.250831e-04,5.250831e-06
3.620416e-01,2.395597e-03,2.686089e-03,2.686089e-05,4.455241e-04,4.898035e-04,4.898035e-06
3.640756e-01,2.269750e-03,2.502436e-03,2.502436e-05,4.181119e-04,4.620156e-04,4.620156e-06
3.661095e-01,2.176963e-03,2.479422e-03,2.479422e-05,3.981222e-04,4.411540e-04,4.411540e-06
3.681435e-01,2.077326e-03,2.321002e-03,2.321002e-05,3.706420e-04,4.039799e-04,4.039799e-06
