statistic,value
mean_flux,0.39421691494990263
median_flux,0.4078592360019684
std_flux,0.306357091708959
min_flux,2.9382650407717056e-39
max_flux,0.9939752817153931
mean_tau,2453.7120013823173
median_tau,0.8968331813812256
effective_tau,0.93085397562068
deep_absorption_frac,0.28473540214249277
moderate_absorption_frac,0.2906432647508927
weak_absorption_frac,0.42462133310661454
tau_eff_err,0.002623040998464384
tau_eff_std,0.26230409984643843
mean_flux_err,0.0007421464689482846
mean_flux_std,0.07421464689482846
n_sightlines,10000.0
tau_eff_obs_target,0.5554037618171708
mean_flux_target,0.5738405195244356
tau_scale_factor,0.4148078323621716
tau_eff_H_total,inf
hi_fraction_eff,0.0
