statistic,value
mean_flux,0.9083588755347879
median_flux,0.9889649748802185
std_flux,0.2010368075109007
min_flux,2.9382650407717056e-39
max_flux,0.9999979734420776
mean_tau,819.688245454924
median_tau,0.01109633781015873
effective_tau,0.09611574109344564
deep_absorption_frac,0.021736612961622014
moderate_absorption_frac,0.03869244659666908
weak_absorption_frac,0.9395709404417089
tau_eff_err,0.0016432095582766023
tau_eff_std,0.16432095582766024
mean_flux_err,0.0006560777697200014
mean_flux_std,0.06560777697200014
n_sightlines,10000.0
tau_eff_obs_target,
mean_flux_target,
tau_scale_factor,
tau_eff_H_total,24.851911413935092
hi_fraction_eff,0.0038675391758667566
