# n_sightlines = 10000
# X = 8.339103e-03 (absorption distance, dimensionless)
# dX_comoving_mpc = 37.252272
# X_absorption = 8.339103e-03
# redshift = 0.000000
# n_absorbers = 490000
# absorber_mode = 2
# cell_dv = 50.0
# colden_mode = 1
# norm_mode = 1
# log_N_min = 13.0
# log_N_max = 22.8
# n_bins = 49
# fit_log_N_min = 13.5
# fit_log_N_max = 15.0
# min_N_gate = 0.0
# dx_mode = 1
# beta_fit = 2.170006
# beta_fit_err = 0.040550
# beta_fit_n_bins = 8
# f_N_HI units: [cm^2]  (f(N) = dn/dN dX)
#
log10_N_HI,f_N_HI,counts,f_N_HI_err,delta_log_N,bin_center
1.311141e+01,9.336780e-12,4554,1.383568e-13,2.000000e-01,1.292447e+13
1.331141e+01,4.157670e-12,3214,7.333766e-14,2.000000e-01,2.048390e+13
1.351141e+01,1.798936e-12,2204,3.831862e-14,2.000000e-01,3.246479e+13
1.371141e+01,7.477746e-13,1452,1.962400e-14,2.000000e-01,5.145323e+13
1.391141e+01,3.122680e-13,961,1.007316e-14,2.000000e-01,8.154787e+13
1.411141e+01,1.156334e-13,564,4.869044e-15,2.000000e-01,1.292447e+14
1.431141e+01,4.281857e-14,331,2.353521e-15,2.000000e-01,2.048390e+14
1.451141e+01,1.371240e-14,168,1.057934e-15,2.000000e-01,3.246479e+14
1.471141e+01,5.561960e-15,108,5.351999e-16,2.000000e-01,5.145323e+14
1.491141e+01,1.624704e-15,50,2.297678e-16,2.000000e-01,8.154787e+14
1.511141e+01,6.970807e-16,34,1.195483e-16,2.000000e-01,1.292447e+15
1.531141e+01,2.457863e-16,19,5.638725e-17,2.000000e-01,2.048390e+15
1.551141e+01,2.203778e-16,27,4.241173e-17,2.000000e-01,3.246479e+15
1.571141e+01,6.694952e-17,13,1.856846e-17,2.000000e-01,5.145323e+15
1.591141e+01,2.599526e-17,8,9.190711e-18,2.000000e-01,8.154787e+15
1.611141e+01,1.845214e-17,9,6.150712e-18,2.000000e-01,1.292447e+16
1.631141e+01,1.681696e-17,13,4.664185e-18,2.000000e-01,2.048390e+16
1.651141e+01,1.061078e-17,13,2.942902e-18,2.000000e-01,3.246479e+16
1.671141e+01,2.059985e-18,4,1.029993e-18,2.000000e-01,5.145323e+16
1.691141e+01,2.599526e-18,8,9.190711e-19,2.000000e-01,8.154787e+16
1.711141e+01,4.100475e-19,2,2.899473e-19,2.000000e-01,1.292447e+17
1.731141e+01,9.055286e-19,7,3.422576e-19,2.000000e-01,2.048390e+17
1.751141e+01,4.081071e-19,5,1.825110e-19,2.000000e-01,3.246479e+17
1.771141e+01,4.634967e-19,9,1.544989e-19,2.000000e-01,5.145323e+17
1.791141e+01,9.748221e-20,3,5.628138e-20,2.000000e-01,8.154787e+17
1.811141e+01,4.100475e-20,2,2.899473e-20,2.000000e-01,1.292447e+18
1.831141e+01,6.468061e-20,5,2.892605e-20,2.000000e-01,2.048390e+18
1.851141e+01,1.632428e-20,2,1.154301e-20,2.000000e-01,3.246479e+18
1.871141e+01,2.059985e-20,4,1.029993e-20,2.000000e-01,5.145323e+18
1.891141e+01,2.274585e-20,7,8.597123e-21,2.000000e-01,8.154787e+18
1.911141e+01,8.200949e-21,4,4.100475e-21,2.000000e-01,1.292447e+19
1.931141e+01,2.587225e-21,2,1.829444e-21,2.000000e-01,2.048390e+19
1.951141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+19
1.971141e+01,2.059985e-21,4,1.029993e-21,2.000000e-01,5.145323e+19
1.991141e+01,3.249407e-22,1,3.249407e-22,2.000000e-01,8.154787e+19
2.011141e+01,2.050237e-22,1,2.050237e-22,2.000000e-01,1.292447e+20
2.031141e+01,3.880837e-22,3,2.240602e-22,2.000000e-01,2.048390e+20
2.051141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+20
2.071141e+01,1.029993e-22,2,7.283148e-23,2.000000e-01,5.145323e+20
2.091141e+01,0.000000e+00,0,,2.000000e-01,8.154787e+20
2.111141e+01,0.000000e+00,0,,2.000000e-01,1.292447e+21
2.131141e+01,0.000000e+00,0,,2.000000e-01,2.048390e+21
2.151141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+21
2.191141e+01,0.000000e+00,0,,2.000000e-01,8.154787e+21
2.211141e+01,0.000000e+00,0,,2.000000e-01,1.292447e+22
2.231141e+01,0.000000e+00,0,,2.000000e-01,2.048390e+22
2.251141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+22
2.271141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+22
