# n_sightlines = 10000
# X = 8.339103e-03 (absorption distance, dimensionless)
# dX_comoving_mpc = 37.252272
# X_absorption = 8.339103e-03
# redshift = 0.000000
# n_absorbers = 490000
# absorber_mode = 2
# cell_dv = 50.0
# colden_mode = 1
# norm_mode = 1
# log_N_min = 13.0
# log_N_max = 22.8
# n_bins = 49
# fit_log_N_min = 13.5
# fit_log_N_max = 15.0
# min_N_gate = 0.0
# dx_mode = 1
# beta_fit = 2.206939
# beta_fit_err = 0.042575
# beta_fit_n_bins = 8
# f_N_HI units: [cm^2]  (f(N) = dn/dN dX)
#
log10_N_HI,f_N_HI,counts,f_N_HI_err,delta_log_N,bin_center
1.311141e+01,9.388036e-12,4579,1.387361e-13,2.000000e-01,1.292447e+13
1.331141e+01,4.223644e-12,3265,7.391724e-14,2.000000e-01,2.048390e+13
1.351141e+01,1.909125e-12,2339,3.947474e-14,2.000000e-01,3.246479e+13
1.371141e+01,7.977293e-13,1549,2.026888e-14,2.000000e-01,5.145323e+13
1.391141e+01,3.272153e-13,1007,1.031143e-14,2.000000e-01,8.154787e+13
1.411141e+01,1.226042e-13,598,5.013658e-15,2.000000e-01,1.292447e+14
1.431141e+01,4.488835e-14,347,2.409733e-15,2.000000e-01,2.048390e+14
1.451141e+01,1.444699e-14,177,1.085902e-15,2.000000e-01,3.246479e+14
1.471141e+01,4.840965e-15,94,4.993075e-16,2.000000e-01,5.145323e+14
1.491141e+01,1.624704e-15,50,2.297678e-16,2.000000e-01,8.154787e+14
1.511141e+01,5.945688e-16,29,1.104087e-16,2.000000e-01,1.292447e+15
1.531141e+01,4.398282e-16,34,7.542991e-17,2.000000e-01,2.048390e+15
1.551141e+01,1.877293e-16,23,3.914426e-17,2.000000e-01,3.246479e+15
1.571141e+01,8.754937e-17,17,2.123384e-17,2.000000e-01,5.145323e+15
1.591141e+01,6.498814e-17,20,1.453179e-17,2.000000e-01,8.154787e+15
1.611141e+01,1.230142e-17,6,5.022035e-18,2.000000e-01,1.292447e+16
1.631141e+01,9.055286e-18,7,3.422576e-18,2.000000e-01,2.048390e+16
1.651141e+01,4.897285e-18,6,1.999308e-18,2.000000e-01,3.246479e+16
1.671141e+01,3.604974e-18,7,1.362552e-18,2.000000e-01,5.145323e+16
1.691141e+01,2.274585e-18,7,8.597123e-19,2.000000e-01,8.154787e+16
1.711141e+01,2.050237e-19,1,2.050237e-19,2.000000e-01,1.292447e+17
1.731141e+01,2.587225e-19,2,1.829444e-19,2.000000e-01,2.048390e+17
1.751141e+01,2.448642e-19,3,1.413724e-19,2.000000e-01,3.246479e+17
1.771141e+01,2.059985e-19,4,1.029993e-19,2.000000e-01,5.145323e+17
1.791141e+01,9.748221e-20,3,5.628138e-20,2.000000e-01,8.154787e+17
1.811141e+01,1.230142e-19,6,5.022035e-20,2.000000e-01,1.292447e+18
1.831141e+01,2.587225e-20,2,1.829444e-20,2.000000e-01,2.048390e+18
1.851141e+01,4.081071e-20,5,1.825110e-20,2.000000e-01,3.246479e+18
1.871141e+01,5.149963e-21,1,5.149963e-21,2.000000e-01,5.145323e+18
1.891141e+01,1.299763e-20,4,6.498814e-21,2.000000e-01,8.154787e+18
1.911141e+01,1.845214e-20,9,6.150712e-21,2.000000e-01,1.292447e+19
1.931141e+01,3.880837e-21,3,2.240602e-21,2.000000e-01,2.048390e+19
1.951141e+01,8.162142e-22,1,8.162142e-22,2.000000e-01,3.246479e+19
1.971141e+01,3.089978e-21,6,1.261478e-21,2.000000e-01,5.145323e+19
1.991141e+01,1.299763e-21,4,6.498814e-22,2.000000e-01,8.154787e+19
2.011141e+01,4.100475e-22,2,2.899473e-22,2.000000e-01,1.292447e+20
2.031141e+01,0.000000e+00,0,,2.000000e-01,2.048390e+20
2.051141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+20
2.071141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+20
2.091141e+01,6.498814e-23,2,4.595356e-23,2.000000e-01,8.154787e+20
2.111141e+01,2.050237e-23,1,2.050237e-23,2.000000e-01,1.292447e+21
2.131141e+01,0.000000e+00,0,,2.000000e-01,2.048390e+21
2.151141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+21
2.191141e+01,0.000000e+00,0,,2.000000e-01,8.154787e+21
2.211141e+01,0.000000e+00,0,,2.000000e-01,1.292447e+22
2.231141e+01,0.000000e+00,0,,2.000000e-01,2.048390e+22
2.251141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+22
2.271141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+22
