N_HI,b_param_km_s
1.346987e+17,8.000000e+01
1.346987e+17,8.000000e+01
1.197675e+14,5.993744e+01
1.398565e+14,4.996789e+01
6.123786e+13,3.681528e+01
4.668586e+13,6.035784e+01
2.857196e+13,7.853646e+01
1.790801e+13,7.892116e+01
1.879663e+13,2.150060e+01
1.110331e+13,7.899612e+01
4.922860e+13,3.537390e+01
1.943950e+14,6.486216e+01
1.507869e+13,7.899625e+01
1.367242e+13,7.907555e+01
1.262088e+14,8.000000e+01
4.171020e+13,3.675522e+01
1.678494e+13,7.888183e+01
1.506035e+14,8.000000e+01
8.579036e+13,4.684489e+01
2.105727e+14,8.000000e+01
8.336292e+13,4.360178e+01
5.931969e+13,5.933686e+01
1.731113e+14,6.203945e+01
5.407534e+13,5.000260e+00
7.011382e+13,4.552363e+01
1.188510e+14,5.765525e+01
2.722620e+13,7.911785e+01
5.526404e+13,3.939776e+01
1.948710e+14,5.393168e+01
1.909918e+14,8.000000e+01
1.458405e+14,4.486299e+01
2.497358e+13,2.528423e+01
1.841575e+13,7.899561e+01
2.801853e+13,2.492389e+01
6.812293e+13,5.339117e+01
6.812293e+13,5.339117e+01
4.136908e+15,8.000000e+01
4.222039e+13,3.225091e+01
6.764686e+13,4.516328e+01
1.636177e+13,4.999219e+00
3.395246e+13,3.297160e+01
1.052028e+14,4.672478e+01
8.194103e+13,5.020812e+01
6.638608e+13,4.083914e+01
1.952031e+16,8.000000e+01
7.713912e+13,6.233974e+01
1.180302e+13,7.890960e+01
2.935558e+13,2.792676e+01
1.803962e+14,4.702507e+01
7.633638e+13,4.420236e+01
1.765497e+13,7.899595e+01
4.748961e+13,5.465238e+01
1.697202e+14,6.918630e+01
1.440579e+13,7.908976e+01
9.657706e+13,4.906702e+01
3.921388e+13,4.660466e+01
2.768055e+13,2.906786e+01
3.652201e+13,3.303166e+01
2.358523e+13,7.899598e+01
1.215250e+13,2.899058e+01
1.652173e+13,7.762189e+01
9.636856e+13,7.206907e+01
3.745487e+14,3.469638e+01
9.085934e+13,7.899984e+01
1.704780e+13,7.899793e+01
1.481111e+13,7.899827e+01
1.296514e+15,7.573258e+01
6.817814e+13,6.714435e+01
3.502185e+13,3.645494e+01
6.131581e+15,8.000000e+01
1.557532e+13,4.999839e+00
4.878698e+13,5.705468e+01
3.348734e+15,8.000000e+01
1.739421e+13,4.999300e+00
2.798393e+13,2.648538e+01
3.217134e+14,8.000000e+01
3.217134e+14,8.000000e+01
3.125426e+13,2.798682e+01
1.210938e+13,5.000275e+00
6.223756e+13,3.549402e+01
5.990247e+13,3.675522e+01
3.737224e+13,7.917561e+01
3.737224e+13,7.935140e+01
2.459477e+14,8.000000e+01
1.612218e+15,8.000000e+01
6.967975e+13,5.291071e+01
2.445114e+13,7.899780e+01
3.183716e+13,3.333194e+01
3.231914e+13,2.966843e+01
5.053953e+13,3.387246e+01
2.422944e+13,2.732619e+01
1.172047e+14,4.149977e+01
1.334807e+14,5.537307e+01
2.546270e+14,8.000000e+01
2.546270e+14,8.000000e+01
1.988191e+13,7.925252e+01
1.753547e+13,7.899553e+01
1.190990e+14,6.083830e+01
6.141312e+13,3.645494e+01
2.703513e+15,8.000000e+01
7.883070e+19,8.000000e+01
7.883070e+19,8.000000e+01
4.720499e+13,4.999879e+00
2.472748e+13,7.899010e+01
2.743086e+14,3.300000e+01
8.908485e+13,4.999846e+00
5.816295e+13,4.636443e+01
4.518108e+13,4.053885e+01
7.551407e+13,6.846561e+01
1.151507e+14,5.537307e+01
3.021372e+13,7.898628e+01
1.918277e+13,7.899755e+01
3.185171e+14,5.591358e+01
4.612270e+13,5.249030e+01
1.729963e+13,7.897817e+01
1.986992e+14,6.023773e+01
5.766044e+13,5.026817e+01
2.473874e+13,2.720607e+01
2.214777e+13,7.899744e+01
4.185830e+13,3.585436e+01
9.410043e+13,5.363140e+01
1.781405e+13,7.898208e+01
1.565932e+14,7.519206e+01
2.140460e+14,8.000000e+01
1.899485e+13,6.688873e+01
4.796464e+13,4.582391e+01
9.835537e+13,4.666472e+01
1.670043e+14,6.822538e+01
3.413197e+13,3.291154e+01
6.360343e+13,4.125954e+01
2.798756e+13,2.966843e+01
9.066828e+13,4.672478e+01
6.996150e+14,6.276015e+01
1.466981e+13,7.896506e+01
5.123824e+13,3.441298e+01
1.654135e+13,7.899812e+01
2.871899e+13,7.899583e+01
3.931023e+13,3.837678e+01
2.943199e+14,8.000000e+01
2.943199e+14,8.000000e+01
2.397895e+13,2.300204e+01
3.391634e+13,3.801643e+01
8.530138e+13,8.000000e+01
4.800749e+13,4.948743e+01
4.800749e+13,4.948743e+01
3.026283e+13,3.459315e+01
4.000212e+13,3.086958e+01
2.912052e+18,8.000000e+01
2.912052e+18,8.000000e+01
2.912052e+18,8.000000e+01
1.961511e+13,7.898923e+01
1.536209e+14,4.654461e+01
4.457784e+13,3.405263e+01
1.034447e+14,5.855612e+01
1.509302e+13,7.898780e+01
2.715042e+13,2.570463e+01
1.225589e+13,7.899522e+01
2.209596e+13,7.899455e+01
9.937016e+12,7.899882e+01
5.539840e+13,3.705551e+01
6.847879e+13,3.585436e+01
4.190603e+13,3.435292e+01
1.918683e+13,7.899525e+01
6.243668e+14,8.000000e+01
4.979089e+14,7.266964e+01
2.845385e+13,2.960837e+01
3.196635e+14,8.000000e+01
3.196635e+14,8.000000e+01
3.834703e+14,8.000000e+01
2.240069e+13,7.899583e+01
1.518507e+13,7.899689e+01
3.700982e+13,2.697811e+01
6.308787e+13,3.819660e+01
3.091205e+13,3.417275e+01
1.415844e+13,7.899641e+01
2.585358e+14,6.294032e+01
1.544478e+14,3.981816e+01
1.137734e+14,6.131876e+01
2.125956e+13,7.899476e+01
3.014021e+14,8.000000e+01
3.102573e+13,2.298261e+01
7.468489e+13,5.477249e+01
7.179765e+13,3.951787e+01
5.221180e+13,3.897735e+01
1.308378e+13,7.898947e+01
2.488069e+13,7.899650e+01
1.383388e+14,4.210035e+01
1.616706e+13,7.891566e+01
5.536720e+13,5.393168e+01
3.131240e+13,7.872097e+01
3.757271e+13,3.110981e+01
8.057980e+12,7.899852e+01
1.433377e+13,4.999526e+00
2.700130e+13,2.732619e+01
6.739284e+14,7.381074e+01
4.169921e+13,3.357217e+01
6.056306e+13,6.294032e+01
1.121822e+13,7.896908e+01
2.068794e+13,7.899701e+01
2.903964e+13,3.483338e+01
1.359940e+13,7.897276e+01
9.021535e+14,8.000000e+01
9.021535e+14,8.000000e+01
2.992143e+14,5.957709e+01
2.479575e+13,7.890546e+01
2.018927e+14,8.000000e+01
2.431922e+13,5.000000e+00
1.099163e+14,8.000000e+01
1.099163e+14,8.000000e+01
1.423362e+13,7.897807e+01
5.210747e+13,4.402219e+01
2.153101e+13,7.898941e+01
1.016359e+14,8.000000e+01
3.735331e+13,3.351212e+01
1.513733e+13,7.899839e+01
1.476336e+14,5.849606e+01
2.414371e+13,2.630521e+01
3.849146e+13,2.936814e+01
2.093224e+13,7.886004e+01
1.639914e+13,7.895229e+01
2.037251e+14,5.513284e+01
1.020254e+14,4.972766e+01
9.629271e+13,8.000000e+01
1.061961e+13,7.104578e+01
2.690476e+13,2.930809e+01
8.230922e+13,3.885724e+01
3.913445e+13,3.441298e+01
3.184061e+14,8.000000e+01
3.184061e+14,8.000000e+01
9.353721e+12,7.797853e+01
3.562384e+13,3.056930e+01
2.964136e+13,2.912791e+01
1.474581e+15,8.000000e+01
3.109932e+14,8.000000e+01
3.581652e+13,3.333194e+01
2.129253e+13,7.899700e+01
2.433282e+13,7.894120e+01
2.601631e+13,7.899742e+01
2.527749e+13,4.999422e+00
3.130713e+13,3.092964e+01
1.181054e+13,7.875713e+01
2.393732e+13,2.558452e+01
4.110819e+13,2.912791e+01
1.287581e+13,7.899241e+01
9.813353e+12,7.898339e+01
2.502148e+14,8.000000e+01
5.380084e+13,3.777620e+01
3.564070e+13,7.897609e+01
1.218940e+13,7.898965e+01
2.534175e+14,7.357050e+01
9.064777e+13,4.486299e+01
3.929422e+13,3.261125e+01
2.753836e+13,2.083997e+01
1.223959e+15,6.708429e+01
1.862902e+14,7.290987e+01
4.470950e+13,4.198023e+01
3.169336e+13,3.309171e+01
2.812674e+13,3.225091e+01
2.292143e+13,2.498394e+01
3.458074e+13,3.531384e+01
5.096236e+13,4.077908e+01
4.543538e+13,2.882763e+01
2.594985e+13,2.798682e+01
1.548275e+15,8.000000e+01
1.007683e+14,4.999985e+00
1.007683e+14,7.896888e+01
5.915801e+13,3.897735e+01
6.238388e+13,5.411186e+01
1.097193e+14,4.468282e+01
4.438891e+13,3.861701e+01
1.812053e+14,4.834633e+01
7.446449e+13,6.696417e+01
1.261006e+14,6.474204e+01
2.286479e+13,7.899624e+01
1.317652e+13,7.851081e+01
1.749511e+14,6.053802e+01
3.390974e+13,2.336239e+01
7.257319e+13,4.246069e+01
1.655090e+14,7.789465e+01
2.387875e+13,2.192101e+01
1.329255e+13,7.899540e+01
7.630597e+13,4.011845e+01
7.309919e+13,5.000274e+00
7.309919e+13,4.999846e+00
7.878498e+13,7.026734e+01
5.309108e+13,2.294706e+01
1.580242e+13,7.907811e+01
2.291317e+13,2.306210e+01
1.928061e+13,7.893986e+01
7.946514e+13,4.828627e+01
7.509971e+14,8.000000e+01
1.976894e+13,1.899162e+01
2.854196e+13,2.882763e+01
2.652200e+13,2.504400e+01
3.263175e+13,3.177045e+01
2.821210e+13,7.899627e+01
2.992317e+14,8.000000e+01
2.524929e+13,7.898710e+01
1.992637e+13,2.041957e+01
3.956306e+13,3.975810e+01
2.345985e+13,7.887944e+01
3.287780e+13,2.900780e+01
1.939389e+13,7.917914e+01
5.623099e+13,3.423281e+01
1.457258e+15,8.000000e+01
1.461465e+14,6.654377e+01
1.842828e+13,2.108020e+01
4.951962e+13,2.499071e+01
2.844813e+13,2.624515e+01
4.065796e+13,4.426242e+01
2.184382e+15,5.128915e+01
1.184170e+13,4.696699e+01
2.332596e+13,7.899055e+01
4.345674e+13,4.612420e+01
6.721527e+14,8.000000e+01
6.721527e+14,8.000000e+01
6.721527e+14,8.000000e+01
1.327517e+13,7.899550e+01
1.697318e+13,7.896688e+01
6.023950e+14,8.000000e+01
6.023950e+14,8.000000e+01
2.711693e+13,7.899491e+01
3.539003e+13,7.898574e+01
6.680333e+13,3.789632e+01
4.224695e+13,7.884683e+01
1.243916e+13,7.897023e+01
