ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,9.101519e+04,2.614209e+04
HI 1215Å,60661,6.066100e+01,1.774980e-01,8.065413e+03,1.451335e+00
