k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err
0.000000e+00,5.170831e+00,3.668741e+01,3.668741e-01
2.887885e-03,4.510384e+00,9.234966e+00,9.234966e-02
5.775771e-03,3.486313e+00,5.790787e+00,5.790787e-02
8.663656e-03,2.956789e+00,4.606110e+00,4.606110e-02
1.155154e-02,2.467157e+00,3.697197e+00,3.697197e-02
1.443943e-02,2.142106e+00,3.191141e+00,3.191141e-02
1.732731e-02,1.769753e+00,2.449172e+00,2.449172e-02
2.021520e-02,1.483071e+00,2.060153e+00,2.060153e-02
2.310308e-02,1.241680e+00,1.753882e+00,1.753882e-02
2.599097e-02,1.077630e+00,1.481129e+00,1.481129e-02
2.887885e-02,8.898836e-01,1.182631e+00,1.182631e-02
3.176674e-02,7.686158e-01,9.955273e-01,9.955273e-03
3.465462e-02,6.598981e-01,8.701530e-01,8.701530e-03
3.754251e-02,5.626604e-01,7.323119e-01,7.323119e-03
4.043039e-02,4.753378e-01,6.079724e-01,6.079724e-03
4.331828e-02,4.167811e-01,5.329622e-01,5.329622e-03
4.620616e-02,3.664121e-01,4.618976e-01,4.618976e-03
4.909405e-02,3.194286e-01,4.057348e-01,4.057348e-03
5.198193e-02,2.699480e-01,3.396178e-01,3.396178e-03
5.486982e-02,2.422639e-01,3.047766e-01,3.047766e-03
5.775771e-02,2.092583e-01,2.670733e-01,2.670733e-03
6.064559e-02,1.851103e-01,2.374416e-01,2.374416e-03
6.353348e-02,1.600877e-01,1.962583e-01,1.962583e-03
6.642136e-02,1.439491e-01,1.763636e-01,1.763636e-03
6.930925e-02,1.239414e-01,1.526466e-01,1.526466e-03
7.219713e-02,1.116151e-01,1.401985e-01,1.401985e-03
7.508502e-02,9.641330e-02,1.189159e-01,1.189159e-03
7.797290e-02,8.595781e-02,1.078516e-01,1.078516e-03
8.086079e-02,7.486892e-02,9.196987e-02,9.196987e-04
8.374867e-02,6.432567e-02,7.967796e-02,7.967796e-04
8.663656e-02,5.758609e-02,7.017789e-02,7.017789e-04
8.952444e-02,5.043913e-02,6.363712e-02,6.363712e-04
9.241233e-02,4.476840e-02,5.489740e-02,5.489740e-04
9.530021e-02,4.014813e-02,5.027962e-02,5.027962e-04
9.818810e-02,3.503450e-02,4.353296e-02,4.353296e-04
1.010760e-01,3.028469e-02,3.650127e-02,3.650127e-04
1.039639e-01,2.646499e-02,3.316204e-02,3.316204e-04
1.068518e-01,2.326468e-02,2.804127e-02,2.804127e-04
1.097396e-01,2.055057e-02,2.487606e-02,2.487606e-04
1.126275e-01,1.836724e-02,2.272382e-02,2.272382e-04
1.155154e-01,1.588373e-02,1.999639e-02,1.999639e-04
1.184033e-01,1.438317e-02,1.813168e-02,1.813168e-04
1.212912e-01,1.259976e-02,1.565051e-02,1.565051e-04
1.241791e-01,1.116599e-02,1.399103e-02,1.399103e-04
1.270670e-01,9.628943e-03,1.216604e-02,1.216604e-04
1.299548e-01,8.653917e-03,1.110028e-02,1.110028e-04
1.328427e-01,7.503298e-03,9.406445e-03,9.406445e-05
1.357306e-01,6.654433e-03,8.389790e-03,8.389790e-05
1.386185e-01,5.829566e-03,7.296634e-03,7.296634e-05
1.415064e-01,5.133008e-03,6.560913e-03,6.560913e-05
