ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10029,1.002900e+01,9.999953e-01,1.762597e+04,2.682096e+03
HI 1215Å,10969,1.096900e+01,2.989368e-02,1.299059e+04,1.060366e+00
