N_HI,b_param_km_s
1.271063e+13,5.000022e+00
1.489736e+13,7.899084e+01
1.366353e+13,7.899462e+01
9.377668e+12,7.899715e+01
7.301392e+13,4.588397e+01
2.301566e+13,2.348250e+01
1.677802e+14,4.744547e+01
4.643632e+21,8.000000e+01
4.643632e+21,8.000000e+01
4.643632e+21,8.000000e+01
4.643632e+21,8.000000e+01
4.643632e+21,8.000000e+01
1.280199e+13,7.840503e+01
2.605507e+13,7.896504e+01
1.710318e+14,8.000000e+01
9.134998e+13,6.420153e+01
1.739247e+13,7.895635e+01
1.555928e+13,7.899398e+01
8.670891e+13,8.000000e+01
1.590245e+14,8.000000e+01
1.590245e+14,8.000000e+01
1.641361e+13,7.899273e+01
1.366277e+13,7.896146e+01
2.171091e+13,7.890803e+01
7.850964e+13,4.252075e+01
1.954680e+14,7.681361e+01
1.417184e+13,4.999671e+00
4.468533e+13,3.627476e+01
3.688807e+13,3.375235e+01
1.441553e+14,4.612420e+01
1.028419e+13,7.894622e+01
1.029181e+14,8.000000e+01
3.741227e+14,8.000000e+01
1.527061e+14,7.471160e+01
1.527061e+14,7.471160e+01
2.199459e+13,4.999523e+00
8.884457e+12,7.856988e+01
2.319633e+13,7.899267e+01
3.844274e+13,2.978855e+01
1.871378e+14,8.000000e+01
1.046239e+14,4.504317e+01
3.310091e+13,2.990866e+01
8.858440e+13,6.143888e+01
2.145781e+13,7.899309e+01
7.844756e+13,6.564291e+01
1.791362e+13,7.896096e+01
1.620863e+13,7.898023e+01
8.453325e+12,7.899735e+01
9.356082e+13,5.038829e+01
2.575087e+14,8.000000e+01
3.780767e+13,7.898902e+01
1.847728e+13,7.894678e+01
7.964443e+13,7.753430e+01
3.062070e+13,3.501355e+01
3.608455e+14,8.000000e+01
3.608455e+14,8.000000e+01
8.134214e+13,4.636443e+01
5.104124e+13,4.444259e+01
2.577348e+13,2.726613e+01
1.163594e+15,8.000000e+01
3.142936e+13,3.092964e+01
1.754544e+14,4.870668e+01
7.902355e+13,6.690412e+01
6.598312e+13,7.899399e+01
1.408899e+14,7.885557e+01
1.239565e+13,7.899651e+01
1.574121e+13,5.071469e+01
3.605218e+13,3.855695e+01
1.321907e+14,8.000000e+01
3.026169e+13,3.249114e+01
2.609844e+13,2.900780e+01
2.274848e+13,7.898892e+01
1.590871e+13,7.899423e+01
2.186702e+13,7.918033e+01
6.337118e+13,3.231096e+01
1.984027e+13,7.898857e+01
3.373023e+13,3.363223e+01
5.596878e+13,4.017850e+01
1.441706e+13,7.897615e+01
1.915920e+13,7.892675e+01
3.811978e+14,6.420153e+01
2.458154e+13,2.960837e+01
1.273815e+14,4.792593e+01
1.620856e+14,4.972766e+01
6.102363e+18,8.000000e+01
6.102363e+18,8.000000e+01
2.922114e+13,2.606498e+01
2.078891e+13,2.108020e+01
3.759723e+13,3.207073e+01
1.752761e+14,8.000000e+01
3.523987e+13,7.899783e+01
5.952316e+13,4.149977e+01
1.140363e+14,8.000000e+01
2.549272e+14,5.669433e+01
2.206697e+13,3.718938e+01
2.744745e+14,6.816532e+01
1.227934e+14,6.318055e+01
4.563621e+13,4.600409e+01
2.843170e+13,2.600492e+01
2.824492e+14,6.918630e+01
1.419689e+13,7.810213e+01
1.795501e+14,8.000000e+01
2.763571e+13,7.899608e+01
2.620795e+15,8.000000e+01
1.250100e+13,7.899756e+01
3.770810e+13,3.345206e+01
2.005849e+13,7.898410e+01
1.013043e+13,7.904234e+01
1.937396e+14,5.152938e+01
8.605196e+13,4.017850e+01
1.722700e+13,7.899210e+01
3.539693e+13,3.675522e+01
3.187802e+13,7.899146e+01
5.144851e+13,7.898846e+01
3.745626e+14,8.000000e+01
3.745626e+14,8.000000e+01
3.887072e+13,7.898516e+01
3.314669e+14,5.975727e+01
1.153578e+13,7.899693e+01
2.605999e+14,3.485573e+01
1.192421e+14,6.191934e+01
3.416424e+13,7.899789e+01
3.438530e+14,7.705384e+01
1.804319e+14,6.372107e+01
2.374457e+13,7.926664e+01
2.239360e+13,2.534429e+01
7.683526e+13,7.899397e+01
4.484819e+13,3.357217e+01
8.602799e+13,5.261042e+01
1.655675e+13,4.497212e+01
9.943361e+12,7.899694e+01
1.128685e+13,7.899164e+01
9.968800e+12,7.899443e+01
1.022581e+13,7.899758e+01
8.391708e+13,8.000000e+01
1.451250e+13,7.899783e+01
1.840049e+14,6.774492e+01
1.557235e+13,7.897822e+01
2.736994e+13,7.899352e+01
4.382026e+13,3.999833e+01
1.721898e+13,7.897488e+01
2.440417e+13,7.889210e+01
5.098789e+13,3.441298e+01
2.865497e+13,2.942820e+01
2.379810e+13,6.290639e+01
1.072738e+13,7.896205e+01
1.775987e+13,7.899433e+01
2.029271e+13,7.899437e+01
5.552252e+13,5.140927e+01
5.552252e+13,7.899791e+01
1.355018e+14,6.624348e+01
1.355018e+14,6.624348e+01
8.233299e+15,8.000000e+01
5.460813e+13,3.633482e+01
3.284879e+14,8.000000e+01
3.284879e+14,8.000000e+01
6.046060e+13,3.927764e+01
2.045157e+14,8.000000e+01
1.115373e+13,7.899216e+01
2.154998e+13,7.898519e+01
1.870892e+14,7.645327e+01
1.282640e+14,4.714518e+01
8.410449e+13,5.723485e+01
3.162442e+13,2.936814e+01
4.928517e+14,8.000000e+01
2.612263e+13,7.899811e+01
1.268312e+14,4.864662e+01
2.209909e+13,7.899504e+01
9.648055e+13,5.915669e+01
9.648055e+13,5.915669e+01
6.599051e+13,5.333111e+01
7.088199e+13,4.059891e+01
2.815642e+13,2.906786e+01
9.870874e+13,7.098803e+01
1.242693e+13,4.999689e+00
1.700315e+14,6.876590e+01
6.281828e+13,7.899247e+01
6.950796e+13,7.899858e+01
6.950796e+13,7.899181e+01
1.927713e+13,7.899359e+01
3.954702e+13,3.177045e+01
2.005594e+13,2.228135e+01
2.884373e+13,2.606498e+01
3.556013e+13,7.899312e+01
6.597213e+13,5.855612e+01
1.419901e+13,7.899597e+01
1.540004e+13,7.899612e+01
3.437913e+14,8.000000e+01
3.437913e+14,8.000000e+01
3.437913e+14,8.000000e+01
5.147959e+13,3.807649e+01
2.518670e+14,6.342078e+01
1.412130e+13,7.899718e+01
1.817721e+13,7.899795e+01
2.381318e+14,8.000000e+01
1.011772e+16,8.000000e+01
1.011772e+16,8.000000e+01
1.103542e+13,7.899537e+01
2.797054e+13,7.882952e+01
7.259702e+14,7.669350e+01
1.165131e+13,7.899817e+01
1.372741e+13,7.899614e+01
8.589373e+13,4.564374e+01
1.273286e+14,8.000000e+01
2.475103e+13,7.899473e+01
6.843700e+13,4.696559e+01
3.515207e+13,3.885724e+01
1.836131e+13,7.899038e+01
2.435211e+13,7.897703e+01
1.006105e+13,7.899400e+01
1.368484e+13,7.899695e+01
1.122438e+14,8.000000e+01
2.222106e+13,2.378279e+01
3.142752e+13,3.429286e+01
3.374250e+13,7.898876e+01
3.521533e+13,3.903741e+01
3.420135e+13,7.889362e+01
1.913226e+13,7.899412e+01
1.994440e+14,8.000000e+01
4.263926e+13,3.050924e+01
3.267464e+13,3.285148e+01
6.692427e+14,8.000000e+01
2.178641e+13,7.892442e+01
1.731873e+13,7.899410e+01
1.144056e+13,7.894894e+01
5.040423e+13,4.252075e+01
1.385437e+13,4.883657e+01
8.759255e+13,7.957626e+01
1.497148e+13,7.899777e+01
7.478994e+13,4.083914e+01
9.883104e+13,3.969804e+01
2.155333e+13,7.895343e+01
1.252822e+13,1.411353e+01
4.117298e+14,8.000000e+01
2.433326e+14,6.678400e+01
3.335960e+13,3.459315e+01
5.199333e+14,7.164866e+01
2.783219e+13,2.930809e+01
3.927263e+13,3.657505e+01
3.529744e+13,3.795637e+01
5.873025e+13,5.000223e+00
5.873025e+13,6.522250e+01
7.234012e+14,8.000000e+01
2.503803e+13,7.894788e+01
3.224790e+13,4.999689e+00
2.333297e+13,7.899681e+01
3.270140e+13,7.899218e+01
2.329954e+13,4.998996e+00
1.118756e+13,7.899752e+01
3.285291e+13,3.243108e+01
4.287525e+13,3.038912e+01
9.687664e+13,6.990699e+01
1.100554e+14,4.516328e+01
2.386480e+13,7.898744e+01
1.213712e+15,8.000000e+01
1.213712e+15,8.000000e+01
1.213712e+15,8.000000e+01
1.700983e+13,5.000123e+00
3.370037e+13,7.899552e+01
9.177911e+13,3.957793e+01
4.180240e+13,5.219002e+01
2.583076e+17,8.000000e+01
3.514114e+14,8.000000e+01
4.438259e+13,3.531384e+01
1.879269e+14,7.321016e+01
1.166050e+14,3.405263e+01
4.051744e+13,3.837678e+01
2.037285e+13,2.306210e+01
1.923047e+14,8.000000e+01
1.923047e+14,4.999991e+00
8.762293e+12,7.899909e+01
1.118403e+14,8.000000e+01
8.489147e+13,4.300121e+01
3.268408e+14,8.000000e+01
3.268408e+14,8.000000e+01
1.901607e+14,8.000000e+01
4.557696e+13,4.125954e+01
1.181459e+13,7.899893e+01
1.655003e+13,2.499458e+01
2.424988e+14,8.000000e+01
2.424988e+14,8.000000e+01
1.092789e+14,6.282020e+01
7.575500e+13,5.000662e+00
7.575500e+13,7.089104e+01
9.536288e+13,6.372107e+01
9.536288e+13,6.372107e+01
4.704063e+13,3.381240e+01
2.758188e+13,7.896225e+01
8.828247e+13,5.000005e+00
8.828247e+13,7.899007e+01
1.032406e+14,8.000000e+01
4.493469e+13,4.504317e+01
1.331780e+14,6.876590e+01
1.277098e+13,7.899689e+01
3.412618e+13,7.894234e+01
1.826657e+13,7.896572e+01
2.137540e+13,7.899314e+01
5.056219e+13,4.011845e+01
5.011147e+13,3.497938e+01
1.145444e+14,6.300038e+01
3.498493e+14,8.000000e+01
3.498493e+14,8.000000e+01
3.498493e+14,8.000000e+01
6.301334e+13,5.062852e+01
4.295804e+13,3.327189e+01
1.301919e+14,6.125871e+01
1.177578e+13,7.899753e+01
2.707851e+13,2.864745e+01
2.209540e+13,7.899255e+01
3.905697e+13,3.423281e+01
1.445211e+13,7.898378e+01
4.336105e+13,3.098970e+01
3.841883e+13,7.121406e+01
3.923029e+13,3.062935e+01
1.745829e+13,7.899315e+01
1.864918e+13,7.786152e+01
1.018624e+14,6.221963e+01
1.513847e+13,7.899268e+01
1.572261e+14,7.759436e+01
1.572261e+14,7.759436e+01
3.357483e+13,3.068941e+01
2.391247e+13,3.698745e+01
5.198167e+13,4.426242e+01
1.251073e+13,7.899805e+01
1.371094e+14,5.098886e+01
1.316756e+14,5.000028e+00
1.316756e+14,8.000000e+01
2.392345e+13,7.899797e+01
8.345894e+13,5.693456e+01
2.775928e+13,2.936814e+01
5.428634e+13,7.899642e+01
4.138717e+13,3.261125e+01
2.103967e+13,4.999467e+00
3.145540e+13,7.899613e+01
1.993864e+14,8.000000e+01
3.486586e+13,3.591442e+01
2.501391e+13,2.510406e+01
1.492857e+13,7.888923e+01
3.987265e+13,7.898751e+01
3.987265e+13,7.899687e+01
9.941250e+13,5.861617e+01
3.256257e+13,7.898698e+01
4.414766e+13,7.893522e+01
4.551921e+13,3.735580e+01
3.188351e+13,3.014889e+01
1.296556e+13,7.899688e+01
4.612719e+13,5.140927e+01
1.187195e+13,7.899712e+01
4.979086e+13,3.249114e+01
4.438654e+13,3.315177e+01
5.683900e+14,2.900000e+01
1.010223e+14,5.789548e+01
2.924526e+13,3.411269e+01
9.018668e+13,7.309004e+01
9.018668e+13,7.309004e+01
5.769899e+13,4.810610e+01
2.154370e+13,7.895299e+01
1.302824e+14,5.345122e+01
7.391273e+14,8.000000e+01
7.391273e+14,8.000000e+01
1.218932e+13,7.899632e+01
1.949466e+13,7.897972e+01
3.449587e+13,2.954832e+01
1.887118e+14,8.000000e+01
1.887118e+14,8.000000e+01
3.429271e+13,2.708596e+01
2.112262e+13,2.378279e+01
4.277963e+13,7.899365e+01
7.149236e+13,7.116820e+01
7.149236e+13,7.116820e+01
3.469624e+13,7.899296e+01
1.177597e+14,5.134921e+01
2.281906e+13,7.874389e+01
1.081832e+13,7.898762e+01
1.603935e+13,7.899375e+01
3.629165e+14,8.000000e+01
1.580791e+13,7.899842e+01
2.598229e+13,7.899174e+01
4.833691e+13,4.192017e+01
1.140535e+14,8.000000e+01
4.627546e+15,8.000000e+01
2.254107e+13,7.899014e+01
2.950324e+13,4.999964e+00
7.089372e+13,6.828544e+01
7.089372e+13,5.000011e+00
6.568012e+13,3.861701e+01
1.976204e+13,5.695601e+01
2.035855e+13,3.706352e+01
3.318210e+13,3.591442e+01
3.631180e+13,4.017850e+01
4.245323e+13,5.861617e+01
9.833393e+15,8.000000e+01
9.833393e+15,8.000000e+01
2.578740e+13,7.899476e+01
8.742006e+13,5.975727e+01
8.572888e+13,5.200984e+01
1.559604e+13,7.899828e+01
1.479317e+14,8.000000e+01
1.479317e+14,8.000000e+01
2.967207e+13,2.972849e+01
2.661111e+13,7.899015e+01
1.658330e+13,7.899105e+01
3.409761e+13,3.291154e+01
9.074058e+13,4.678484e+01
2.026928e+13,7.899638e+01
2.072287e+13,7.899229e+01
2.217397e+14,7.188889e+01
3.544359e+13,7.898697e+01
3.438262e+13,3.687534e+01
1.595877e+13,7.899693e+01
3.489309e+13,2.588481e+01
1.057550e+13,7.899871e+01
1.217242e+14,6.876590e+01
2.971236e+13,7.899618e+01
9.668402e+12,7.898594e+01
1.732188e+13,7.899538e+01
1.504792e+13,7.899368e+01
7.615872e+13,4.053885e+01
6.133084e+13,5.711473e+01
2.304085e+13,7.885119e+01
8.884572e+13,8.000000e+01
4.680680e+13,4.564374e+01
1.526007e+13,7.899674e+01
1.425376e+13,7.899718e+01
6.763766e+13,3.891730e+01
1.730222e+13,1.698875e+01
1.882076e+13,7.897498e+01
1.016576e+14,4.360178e+01
2.312729e+13,2.462360e+01
1.323030e+13,7.896442e+01
1.352821e+13,7.899764e+01
5.104228e+13,3.735580e+01
8.732448e+12,7.897706e+01
5.205059e+13,4.630437e+01
5.137955e+13,4.276098e+01
2.227138e+13,7.881898e+01
9.356439e+15,8.000000e+01
