ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10010,1.001000e+01,9.999982e-01,9.985497e+03,1.077387e+03
HI 1215Å,7699,7.699000e+00,1.755059e-02,6.195309e+03,1.033667e+00
