statistic,value
mean_flux,0.24169380936916274
median_flux,0.1686040759086609
std_flux,0.2439944437694288
min_flux,2.9382650407717056e-39
max_flux,0.9916611313819885
mean_tau,2552.997510260997
median_tau,1.780202031135559
effective_tau,1.4200836044713696
deep_absorption_frac,0.4255743970735813
moderate_absorption_frac,0.38145910459357096
weak_absorption_frac,0.19296649833284776
tau_eff_err,0.0032626329490558397
tau_eff_std,0.326263294905584
mean_flux_err,0.000630441196172142
mean_flux_std,0.0630441196172142
n_sightlines,10000.0
tau_eff_obs_target,0.8160743077493965
mean_flux_target,0.44216405184357616
tau_scale_factor,0.3984682989884075
tau_eff_H_total,727.0522666819135
hi_fraction_eff,0.0019532070379206126
