ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,2.009537e+05,8.722425e+04
HI 1215Å,77995,7.799500e+01,8.919421e-01,2.862247e+03,2.139002e+00
