ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.132228e+05,3.967739e+04
HI 1215Å,83288,8.328800e+01,2.757369e-01,4.036908e+03,1.540503e+00
