# n_pixels = 217570000
# n_bins = 50
# grid = fixed, [0, 1]
# density: normalised so sum(density * bin_width) = 1
# density_err: Poisson, sqrt(count) / (n_pixels * bin_width)
#
flux_bin_center,flux_bin_low,flux_bin_high,density,density_err,count
1.000000e-02,0.000000e+00,2.000000e-02,3.923969e-01,3.002951e-04,1707476
3.000000e-02,2.000000e-02,4.000000e-02,8.173071e-02,1.370497e-04,355643
5.000000e-02,4.000000e-02,6.000000e-02,6.836352e-02,1.253423e-04,297477
7.000000e-02,6.000000e-02,8.000000e-02,6.226111e-02,1.196173e-04,270923
9.000000e-02,8.000000e-02,1.000000e-01,5.877120e-02,1.162165e-04,255737
1.100000e-01,1.000000e-01,1.200000e-01,5.739624e-02,1.148490e-04,249754
1.300000e-01,1.200000e-01,1.400000e-01,5.626971e-02,1.137163e-04,244852
1.500000e-01,1.400000e-01,1.600000e-01,5.665878e-02,1.141088e-04,246545
1.700000e-01,1.600000e-01,1.800000e-01,5.592177e-02,1.133642e-04,243338
1.900000e-01,1.800000e-01,2.000000e-01,5.652043e-02,1.139694e-04,245943
2.100000e-01,2.000000e-01,2.200000e-01,5.684446e-02,1.142956e-04,247353
2.300000e-01,2.200000e-01,2.400000e-01,5.833479e-02,1.157842e-04,253838
2.500000e-01,2.400000e-01,2.600000e-01,5.909385e-02,1.165351e-04,257141
2.700000e-01,2.600000e-01,2.800000e-01,5.962931e-02,1.170619e-04,259471
2.900000e-01,2.800000e-01,3.000000e-01,6.124604e-02,1.186382e-04,266506
3.100000e-01,3.000000e-01,3.200000e-01,6.297950e-02,1.203054e-04,274049
3.300000e-01,3.200000e-01,3.400000e-01,6.497587e-02,1.221973e-04,282736
3.500000e-01,3.400000e-01,3.600000e-01,6.809372e-02,1.250947e-04,296303
3.700000e-01,3.600000e-01,3.800000e-01,7.016684e-02,1.269847e-04,305324
3.900000e-01,3.800000e-01,4.000000e-01,7.297169e-02,1.294979e-04,317529
4.100000e-01,4.000000e-01,4.200000e-01,7.600014e-02,1.321578e-04,330707
4.300000e-01,4.200000e-01,4.400000e-01,7.856000e-02,1.343650e-04,341846
4.500000e-01,4.400000e-01,4.600000e-01,8.258101e-02,1.377608e-04,359343
4.700000e-01,4.600000e-01,4.800000e-01,8.649906e-02,1.409909e-04,376392
4.900000e-01,4.800000e-01,5.000000e-01,9.148964e-02,1.450011e-04,398108
5.100000e-01,5.000000e-01,5.200000e-01,9.735717e-02,1.495786e-04,423640
5.300000e-01,5.200000e-01,5.400000e-01,1.021717e-01,1.532325e-04,444590
5.500000e-01,5.400000e-01,5.600000e-01,1.079774e-01,1.575259e-04,469853
5.700000e-01,5.600000e-01,5.800000e-01,1.152461e-01,1.627416e-04,501482
5.900000e-01,5.800000e-01,6.000000e-01,1.234182e-01,1.684128e-04,537042
6.100000e-01,6.000000e-01,6.200000e-01,1.328182e-01,1.747086e-04,577945
6.300000e-01,6.200000e-01,6.400000e-01,1.442802e-01,1.820912e-04,627821
6.500000e-01,6.400000e-01,6.600000e-01,1.538355e-01,1.880242e-04,669400
6.700000e-01,6.600000e-01,6.800000e-01,1.655674e-01,1.950621e-04,720450
6.900000e-01,6.800000e-01,7.000000e-01,1.795914e-01,2.031553e-04,781474
7.100000e-01,7.000000e-01,7.200000e-01,1.966976e-01,2.126107e-04,855910
7.300000e-01,7.200000e-01,7.400000e-01,2.183943e-01,2.240300e-04,950321
7.500000e-01,7.400000e-01,7.600000e-01,2.422319e-01,2.359398e-04,1054048
7.700000e-01,7.600000e-01,7.800000e-01,2.676389e-01,2.480048e-04,1164604
7.900000e-01,7.800000e-01,8.000000e-01,3.019812e-01,2.634362e-04,1314041
8.100000e-01,8.000000e-01,8.200000e-01,3.428768e-01,2.807078e-04,1491994
8.300000e-01,8.200000e-01,8.400000e-01,3.973976e-01,3.022026e-04,1729236
8.500000e-01,8.400000e-01,8.600000e-01,4.646636e-01,3.267795e-04,2021937
8.700000e-01,8.600000e-01,8.800000e-01,5.581165e-01,3.581359e-04,2428588
8.900000e-01,8.800000e-01,9.000000e-01,6.880820e-01,3.976542e-04,2994120
9.100000e-01,9.000000e-01,9.200000e-01,8.876148e-01,4.516456e-04,3862367
9.300000e-01,9.200000e-01,9.400000e-01,1.205458e+00,5.263342e-04,5245432
9.500000e-01,9.400000e-01,9.600000e-01,1.826475e+00,6.478768e-04,7947725
9.700000e-01,9.600000e-01,9.800000e-01,3.572600e+00,9.061032e-04,15545811
9.900000e-01,9.800000e-01,1.000000e+00,3.551175e+01,2.856745e-03,154525835
