ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,9.315569e+04,2.609477e+04
HI 1215Å,60749,6.074900e+01,1.848397e-01,9.631381e+03,1.514462e+00
