ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,2.038471e+05,8.818839e+04
HI 1215Å,78005,7.800500e+01,8.933566e-01,3.274381e+03,2.185484e+00
