# n_sightlines = 10000
# X = 5.642227e-02 (absorption distance, dimensionless)
# dX_comoving_mpc = 37.252272
# X_absorption = 5.642227e-02
# redshift = 1.601151
# n_absorbers = 470000
# absorber_mode = 2
# cell_dv = 50.0
# colden_mode = 1
# norm_mode = 1
# log_N_min = 13.0
# log_N_max = 22.8
# n_bins = 49
# fit_log_N_min = 13.5
# fit_log_N_max = 15.0
# min_N_gate = 0.0
# dx_mode = 1
# beta_fit = 1.871972
# beta_fit_err = 0.028259
# beta_fit_n_bins = 8
# f_N_HI units: [cm^2]  (f(N) = dn/dN dX)
#
log10_N_HI,f_N_HI,counts,f_N_HI_err,delta_log_N,bin_center
1.311141e+01,6.447683e-12,21278,4.420163e-14,2.000000e-01,1.292447e+13
1.331141e+01,3.175913e-12,16611,2.464170e-14,2.000000e-01,2.048390e+13
1.351141e+01,1.524463e-12,12637,1.356110e-14,2.000000e-01,3.246479e+13
1.371141e+01,7.114512e-13,9347,7.358833e-15,2.000000e-01,5.145323e+13
1.391141e+01,3.222518e-13,6710,3.933998e-15,2.000000e-01,8.154787e+13
1.411141e+01,1.409351e-13,4651,2.066550e-15,2.000000e-01,1.292447e+14
1.431141e+01,5.821838e-14,3045,1.055034e-15,2.000000e-01,2.048390e+14
1.451141e+01,2.381332e-14,1974,5.359773e-16,2.000000e-01,3.246479e+14
1.471141e+01,9.636217e-15,1266,2.708256e-16,2.000000e-01,5.145323e+14
1.491141e+01,3.669156e-15,764,1.327454e-16,2.000000e-01,8.154787e+14
1.511141e+01,1.530256e-15,505,6.809552e-17,2.000000e-01,1.292447e+15
1.531141e+01,6.500575e-16,340,3.525432e-17,2.000000e-01,2.048390e+15
1.551141e+01,2.653967e-16,220,1.789304e-17,2.000000e-01,3.246479e+15
1.571141e+01,1.309186e-16,172,9.982448e-18,2.000000e-01,5.145323e+15
1.591141e+01,6.483457e-17,135,5.580071e-18,2.000000e-01,8.154787e+15
1.611141e+01,2.848398e-17,94,2.937898e-18,2.000000e-01,1.292447e+16
1.631141e+01,1.548666e-17,81,1.720740e-18,2.000000e-01,2.048390e+16
1.651141e+01,7.358727e-18,61,9.421884e-19,2.000000e-01,3.246479e+16
1.671141e+01,3.729657e-18,49,5.328082e-19,2.000000e-01,5.145323e+16
1.691141e+01,1.584845e-18,33,2.758861e-19,2.000000e-01,8.154787e+16
1.711141e+01,1.060574e-18,35,1.792697e-19,2.000000e-01,1.292447e+17
1.731141e+01,3.823868e-19,20,8.550428e-20,2.000000e-01,2.048390e+17
1.751141e+01,3.498411e-19,29,6.496386e-20,2.000000e-01,3.246479e+17
1.771141e+01,1.522309e-19,20,3.403987e-20,2.000000e-01,5.145323e+17
1.791141e+01,1.056563e-19,22,2.252601e-20,2.000000e-01,8.154787e+17
1.811141e+01,3.030211e-20,10,9.582368e-21,2.000000e-01,1.292447e+18
1.831141e+01,3.250287e-20,17,7.883105e-21,2.000000e-01,2.048390e+18
1.851141e+01,9.650789e-21,8,3.412069e-21,2.000000e-01,3.246479e+18
1.871141e+01,3.805773e-21,5,1.701993e-21,2.000000e-01,5.145323e+18
1.891141e+01,4.802561e-21,10,1.518703e-21,2.000000e-01,8.154787e+18
1.911141e+01,3.636253e-21,12,1.049696e-21,2.000000e-01,1.292447e+19
1.931141e+01,1.338354e-21,7,5.058501e-22,2.000000e-01,2.048390e+19
1.951141e+01,8.444441e-22,7,3.191699e-22,2.000000e-01,3.246479e+19
1.971141e+01,7.611546e-22,10,2.406982e-22,2.000000e-01,5.145323e+19
1.991141e+01,6.243329e-22,13,1.731588e-22,2.000000e-01,8.154787e+19
2.011141e+01,3.030211e-22,10,9.582368e-23,2.000000e-01,1.292447e+20
2.031141e+01,9.559669e-23,5,4.275214e-23,2.000000e-01,2.048390e+20
2.051141e+01,6.031743e-23,5,2.697478e-23,2.000000e-01,3.246479e+20
2.071141e+01,1.522309e-23,2,1.076435e-23,2.000000e-01,5.145323e+20
2.091141e+01,1.440768e-23,3,8.318279e-24,2.000000e-01,8.154787e+20
2.111141e+01,3.030211e-24,1,3.030211e-24,2.000000e-01,1.292447e+21
2.131141e+01,0.000000e+00,0,,2.000000e-01,2.048390e+21
2.151141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+21
2.191141e+01,0.000000e+00,0,,2.000000e-01,8.154787e+21
2.211141e+01,0.000000e+00,0,,2.000000e-01,1.292447e+22
2.231141e+01,0.000000e+00,0,,2.000000e-01,2.048390e+22
2.251141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+22
2.271141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+22
