statistic,value
mean_flux,0.23694149495963102
median_flux,0.16005273163318634
std_flux,0.2424363035430461
min_flux,2.9382650407717056e-39
max_flux,0.9874604940414429
mean_tau,2849.1057358093644
median_tau,1.8322519063949585
effective_tau,1.4399420250315564
deep_absorption_frac,0.43286965459195237
moderate_absorption_frac,0.3803600692758409
weak_absorption_frac,0.1867702761322068
tau_eff_err,0.0034979099201723055
tau_eff_std,0.3497909920172306
mean_flux_err,0.00064844411791706
mean_flux_std,0.064844411791706
n_sightlines,10000.0
tau_eff_obs_target,0.8160743077493965
mean_flux_target,0.44216405184357616
tau_scale_factor,0.3894972794723743
tau_eff_H_total,inf
hi_fraction_eff,0.0
