ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10004,1.000400e+01,9.999988e-01,9.792604e+03,1.173002e+03
HI 1215Å,8179,8.179000e+00,1.732955e-02,8.687540e+03,1.029371e+00
