k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
0.000000e+00,2.205080e+01,1.055977e+02,1.055977e+00,1.179242e+01,6.626761e+01,6.626761e-01
2.541020e-03,2.092328e+01,2.441809e+01,2.441809e-01,1.043223e+01,1.586534e+01,1.586534e-01
5.082039e-03,1.655978e+01,1.794515e+01,1.794515e-01,8.194739e+00,1.041787e+01,1.041787e-01
7.623059e-03,1.354042e+01,1.451111e+01,1.451111e-01,6.849025e+00,8.506564e+00,8.506564e-02
1.016408e-02,1.169491e+01,1.244091e+01,1.244091e-01,5.987105e+00,7.259344e+00,7.259344e-02
1.270510e-02,9.617012e+00,9.834988e+00,9.834988e-02,4.961041e+00,5.638162e+00,5.638162e-02
1.524612e-02,8.263863e+00,8.570933e+00,8.570933e-02,4.320071e+00,4.976660e+00,4.976660e-02
1.778714e-02,7.121349e+00,7.526750e+00,7.526750e-02,3.678528e+00,4.207092e+00,4.207092e-02
2.032816e-02,6.448992e+00,6.806314e+00,6.806314e-02,3.330301e+00,3.820532e+00,3.820532e-02
2.286918e-02,5.331309e+00,5.606903e+00,5.606903e-02,2.767297e+00,3.125223e+00,3.125223e-02
2.541020e-02,4.791397e+00,4.952108e+00,4.952108e-02,2.480496e+00,2.729770e+00,2.729770e-02
2.795122e-02,4.243291e+00,4.532909e+00,4.532909e-02,2.196646e+00,2.510470e+00,2.510470e-02
3.049224e-02,3.641460e+00,3.783532e+00,3.783532e-02,1.876730e+00,2.064215e+00,2.064215e-02
3.303325e-02,3.318484e+00,3.451457e+00,3.451457e-02,1.684219e+00,1.861048e+00,1.861048e-02
3.557427e-02,2.936494e+00,3.085829e+00,3.085829e-02,1.491023e+00,1.688669e+00,1.688669e-02
3.811529e-02,2.602918e+00,2.800538e+00,2.800538e-02,1.302498e+00,1.483545e+00,1.483545e-02
4.065631e-02,2.265691e+00,2.372474e+00,2.372474e-02,1.127456e+00,1.234953e+00,1.234953e-02
4.319733e-02,2.008510e+00,2.093357e+00,2.093357e-02,9.900937e-01,1.080509e+00,1.080509e-02
4.573835e-02,1.787791e+00,1.888576e+00,1.888576e-02,8.806171e-01,9.730722e-01,9.730722e-03
4.827937e-02,1.591943e+00,1.670435e+00,1.670435e-02,7.759584e-01,8.547177e-01,8.547177e-03
5.082039e-02,1.433600e+00,1.499335e+00,1.499335e-02,6.853009e-01,7.490548e-01,7.490548e-03
5.336141e-02,1.291730e+00,1.344970e+00,1.344970e-02,6.028279e-01,6.608910e-01,6.608910e-03
5.590243e-02,1.143734e+00,1.201068e+00,1.201068e-02,5.371974e-01,5.793881e-01,5.793881e-03
5.844345e-02,1.030567e+00,1.104423e+00,1.104423e-02,4.819392e-01,5.242369e-01,5.242369e-03
6.098447e-02,9.303961e-01,9.938116e-01,9.938116e-03,4.297653e-01,4.726686e-01,4.726686e-03
6.352549e-02,8.283761e-01,8.805998e-01,8.805998e-03,3.820928e-01,4.147377e-01,4.147377e-03
6.606651e-02,7.314766e-01,7.613325e-01,7.613325e-03,3.346381e-01,3.607328e-01,3.607328e-03
6.860753e-02,6.528161e-01,6.821566e-01,6.821566e-03,2.943448e-01,3.176997e-01,3.176997e-03
7.114855e-02,6.015601e-01,6.237318e-01,6.237318e-03,2.688876e-01,2.916914e-01,2.916914e-03
7.368957e-02,5.454043e-01,5.730169e-01,5.730169e-03,2.405697e-01,2.631896e-01,2.631896e-03
7.623059e-02,4.897410e-01,5.202361e-01,5.202361e-03,2.173544e-01,2.337384e-01,2.337384e-03
7.877161e-02,4.325601e-01,4.508406e-01,4.508406e-03,1.898159e-01,2.025705e-01,2.025705e-03
8.131263e-02,3.915826e-01,4.196876e-01,4.196876e-03,1.705614e-01,1.878773e-01,1.878773e-03
8.385365e-02,3.438211e-01,3.667733e-01,3.667733e-03,1.498840e-01,1.658410e-01,1.658410e-03
8.639467e-02,3.109916e-01,3.344626e-01,3.344626e-03,1.364141e-01,1.505594e-01,1.505594e-03
8.893569e-02,2.779153e-01,2.966590e-01,2.966590e-03,1.193462e-01,1.285634e-01,1.285634e-03
