ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.839723e+04,2.736455e+03
HI 1215Å,12255,1.225500e+01,3.171085e-02,2.434510e+04,1.099129e+00
