# n_pixels = 217570000
# n_pixels_in_grid = 176915740
# n_bins = 60
# grid = fixed, log10(tau) in [-3, 2]
# frac_tau_zero = 0.000000e+00
# frac_tau_underflow = 1.857816e-01
# frac_tau_overflow = 1.074450e-03
# density: normalised over the in-grid pixels only
# density_err: Poisson, sqrt(count) / (n_pixels_in_grid * bin_width)
#
log_tau_bin_center,log_tau_bin_low,log_tau_bin_high,density,density_err,count
-2.958333e+00,-3.000000e+00,-2.916667e+00,5.837093e-01,1.989783e-04,8605613
-2.875000e+00,-2.916667e+00,-2.833333e+00,6.159144e-01,2.043937e-04,9080412
-2.791667e+00,-2.833333e+00,-2.750000e+00,6.369444e-01,2.078539e-04,9390457
-2.708333e+00,-2.750000e+00,-2.666667e+00,6.374672e-01,2.079392e-04,9398165
-2.625000e+00,-2.666667e+00,-2.583333e+00,6.271586e-01,2.062510e-04,9246185
-2.541667e+00,-2.583333e+00,-2.500000e+00,6.108511e-01,2.035519e-04,9005765
-2.458333e+00,-2.500000e+00,-2.416667e+00,5.857845e-01,1.993317e-04,8636208
-2.375000e+00,-2.416667e+00,-2.333333e+00,5.549190e-01,1.940091e-04,8181159
-2.291667e+00,-2.333333e+00,-2.250000e+00,5.220229e-01,1.881708e-04,7696173
-2.208333e+00,-2.250000e+00,-2.166667e+00,4.865352e-01,1.816622e-04,7172978
-2.125000e+00,-2.166667e+00,-2.083333e+00,4.527128e-01,1.752342e-04,6674335
-2.041667e+00,-2.083333e+00,-2.000000e+00,4.201256e-01,1.688095e-04,6193902
-1.958333e+00,-2.000000e+00,-1.916667e+00,3.893555e-01,1.625102e-04,5740259
-1.875000e+00,-1.916667e+00,-1.833333e+00,3.615672e-01,1.566037e-04,5330577
-1.791667e+00,-1.833333e+00,-1.750000e+00,3.379930e-01,1.514123e-04,4983023
-1.708333e+00,-1.750000e+00,-1.666667e+00,3.154163e-01,1.462680e-04,4650175
-1.625000e+00,-1.666667e+00,-1.583333e+00,2.970647e-01,1.419492e-04,4379619
-1.541667e+00,-1.583333e+00,-1.500000e+00,2.786433e-01,1.374775e-04,4108032
-1.458333e+00,-1.500000e+00,-1.416667e+00,2.630859e-01,1.335845e-04,3878670
-1.375000e+00,-1.416667e+00,-1.333333e+00,2.514280e-01,1.305913e-04,3706798
-1.291667e+00,-1.333333e+00,-1.250000e+00,2.389472e-01,1.273088e-04,3522793
-1.208333e+00,-1.250000e+00,-1.166667e+00,2.248047e-01,1.234838e-04,3314291
-1.125000e+00,-1.166667e+00,-1.083333e+00,2.148198e-01,1.207103e-04,3167083
-1.041667e+00,-1.083333e+00,-1.000000e+00,2.044010e-01,1.177467e-04,3013479
-9.583333e-01,-1.000000e+00,-9.166667e-01,1.946995e-01,1.149185e-04,2870451
-8.750000e-01,-9.166667e-01,-8.333333e-01,1.816317e-01,1.109949e-04,2677792
-7.916667e-01,-8.333333e-01,-7.500000e-01,1.701069e-01,1.074159e-04,2507883
-7.083333e-01,-7.500000e-01,-6.666667e-01,1.581118e-01,1.035594e-04,2331039
-6.250000e-01,-6.666667e-01,-5.833333e-01,1.458410e-01,9.945972e-05,2150131
-5.416667e-01,-5.833333e-01,-5.000000e-01,1.312177e-01,9.434169e-05,1934540
