# n_pixels = 247270000
# n_pixels_in_grid = 246214820
# n_bins = 60
# grid = fixed, log10(tau) in [-3, 2]
# frac_tau_zero = 0.000000e+00
# frac_tau_underflow = 2.755692e-05
# frac_tau_overflow = 4.239762e-03
# density: normalised over the in-grid pixels only
# density_err: Poisson, sqrt(count) / (n_pixels_in_grid * bin_width)
#
log_tau_bin_center,log_tau_bin_low,log_tau_bin_high,density,density_err,count
-2.958333e+00,-3.000000e+00,-2.916667e+00,2.018725e-04,3.136694e-06,4142
-2.875000e+00,-2.916667e+00,-2.833333e+00,4.090087e-04,4.464777e-06,8392
-2.791667e+00,-2.833333e+00,-2.750000e+00,9.980065e-04,6.974294e-06,20477
-2.708333e+00,-2.750000e+00,-2.666667e+00,2.423640e-03,1.086845e-05,49728
-2.625000e+00,-2.666667e+00,-2.583333e+00,5.963183e-03,1.704797e-05,122352
-2.541667e+00,-2.583333e+00,-2.500000e+00,1.309520e-02,2.526327e-05,268686
-2.458333e+00,-2.500000e+00,-2.416667e+00,2.798195e-02,3.692943e-05,574131
-2.375000e+00,-2.416667e+00,-2.333333e+00,5.307619e-02,5.086082e-05,1089012
-2.291667e+00,-2.333333e+00,-2.250000e+00,9.168540e-02,6.684726e-05,1881192
-2.208333e+00,-2.250000e+00,-2.166667e+00,1.449972e-01,8.406463e-05,2975038
-2.125000e+00,-2.166667e+00,-2.083333e+00,2.125389e-01,1.017777e-04,4360853
-2.041667e+00,-2.083333e+00,-2.000000e+00,2.928808e-01,1.194755e-04,6009299
-1.958333e+00,-2.000000e+00,-1.916667e+00,3.753895e-01,1.352616e-04,7702205
-1.875000e+00,-1.916667e+00,-1.833333e+00,4.531891e-01,1.486186e-04,9298489
-1.791667e+00,-1.833333e+00,-1.750000e+00,5.167832e-01,1.587039e-04,10603306
-1.708333e+00,-1.750000e+00,-1.666667e+00,5.660719e-01,1.660999e-04,11614608
-1.625000e+00,-1.666667e+00,-1.583333e+00,6.018269e-01,1.712653e-04,12348226
-1.541667e+00,-1.583333e+00,-1.500000e+00,6.117342e-01,1.726692e-04,12551502
-1.458333e+00,-1.500000e+00,-1.416667e+00,6.096351e-01,1.723727e-04,12508434
-1.375000e+00,-1.416667e+00,-1.333333e+00,5.939109e-01,1.701352e-04,12185805
-1.291667e+00,-1.333333e+00,-1.250000e+00,5.662100e-01,1.661201e-04,11617442
-1.208333e+00,-1.250000e+00,-1.166667e+00,5.348667e-01,1.614568e-04,10974343
-1.125000e+00,-1.166667e+00,-1.083333e+00,5.030019e-01,1.565735e-04,10320543
-1.041667e+00,-1.083333e+00,-1.000000e+00,4.637367e-01,1.503382e-04,9514905
-9.583333e-01,-1.000000e+00,-9.166667e-01,4.250323e-01,1.439277e-04,8720770
-8.750000e-01,-9.166667e-01,-8.333333e-01,3.881008e-01,1.375327e-04,7963015
-7.916667e-01,-8.333333e-01,-7.500000e-01,3.554929e-01,1.316282e-04,7293969
-7.083333e-01,-7.500000e-01,-6.666667e-01,3.260728e-01,1.260639e-04,6690330
-6.250000e-01,-6.666667e-01,-5.833333e-01,2.996473e-01,1.208478e-04,6148133
-5.416667e-01,-5.833333e-01,-5.000000e-01,2.775654e-01,1.163098e-04,5695060
-4.583333e-01,-5.000000e-01,-4.166667e-01,2.585550e-01,1.122561e-04,5305007
-3.750000e-01,-4.166667e-01,-3.333333e-01,2.421659e-01,1.086401e-04,4968736
-2.916667e-01,-3.333333e-01,-2.500000e-01,2.255469e-01,1.048460e-04,4627749
-2.083333e-01,-2.500000e-01,-1.666667e-01,2.143953e-01,1.022212e-04,4398941
-1.250000e-01,-1.666667e-01,-8.333333e-02,2.018534e-01,9.918627e-05,4141608
-4.166667e-02,-8.333333e-02,0.000000e+00,1.884519e-01,9.583712e-05,3866637
4.166667e-02,0.000000e+00,8.333333e-02,1.736589e-01,9.199877e-05,3563116
1.250000e-01,8.333333e-02,1.666667e-01,1.593249e-01,8.812017e-05,3269012
2.083333e-01,1.666667e-01,2.500000e-01,1.453999e-01,8.418128e-05,2983300
2.916667e-01,2.500000e-01,3.333333e-01,1.303904e-01,7.971798e-05,2675337
3.750000e-01,3.333333e-01,4.166667e-01,1.158044e-01,7.512701e-05,2376064
