ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,2.693646e+04,4.290847e+03
HI 1215Å,15366,1.536600e+01,4.409694e-02,1.312512e+04,1.122330e+00
