# n_sightlines = 10000
# X = 1.344141e-02 (absorption distance, dimensionless)
# dX_comoving_mpc = 37.252272
# X_absorption = 1.344141e-02
# redshift = 0.269588
# n_absorbers = 450000
# absorber_mode = 2
# cell_dv = 50.0
# colden_mode = 1
# norm_mode = 1
# log_N_min = 13.0
# log_N_max = 22.8
# n_bins = 49
# fit_log_N_min = 13.5
# fit_log_N_max = 15.0
# min_N_gate = 0.0
# dx_mode = 1
# beta_fit = 2.086982
# beta_fit_err = 0.044854
# beta_fit_n_bins = 8
# f_N_HI units: [cm^2]  (f(N) = dn/dN dX)
#
log10_N_HI,f_N_HI,counts,f_N_HI_err,delta_log_N,bin_center
1.311141e+01,8.947071e-12,7034,1.066792e-13,2.000000e-01,1.292447e+13
1.331141e+01,4.329821e-12,5395,5.894870e-14,2.000000e-01,2.048390e+13
1.351141e+01,1.987044e-12,3924,3.172072e-14,2.000000e-01,3.246479e+13
1.371141e+01,8.741674e-13,2736,1.671231e-14,2.000000e-01,5.145323e+13
1.391141e+01,3.709338e-13,1840,8.647438e-15,2.000000e-01,8.154787e+13
1.411141e+01,1.569617e-13,1234,4.468236e-15,2.000000e-01,1.292447e+14
1.431141e+01,5.810548e-14,724,2.159473e-15,2.000000e-01,2.048390e+14
1.451141e+01,2.010338e-14,397,1.008960e-15,2.000000e-01,3.246479e+14
1.471141e+01,6.773520e-15,212,4.652072e-16,2.000000e-01,5.145323e+14
1.491141e+01,2.519930e-15,125,2.253894e-16,2.000000e-01,8.154787e+14
1.511141e+01,6.741467e-16,53,9.260117e-17,2.000000e-01,1.292447e+15
1.531141e+01,2.568198e-16,32,4.539976e-17,2.000000e-01,2.048390e+15
1.551141e+01,1.620423e-16,32,2.864531e-17,2.000000e-01,3.246479e+15
1.571141e+01,8.307147e-17,26,1.629165e-17,2.000000e-01,5.145323e+15
1.591141e+01,4.435077e-17,22,9.455617e-18,2.000000e-01,8.154787e+15
1.611141e+01,1.780765e-17,14,4.759294e-18,2.000000e-01,1.292447e+16
1.631141e+01,1.203843e-17,15,3.108309e-18,2.000000e-01,2.048390e+16
1.651141e+01,8.102117e-18,16,2.025529e-18,2.000000e-01,3.246479e+16
1.671141e+01,3.514562e-18,11,1.059680e-18,2.000000e-01,5.145323e+16
1.691141e+01,2.217539e-18,11,6.686131e-19,2.000000e-01,8.154787e+16
1.711141e+01,1.907962e-18,15,4.926337e-19,2.000000e-01,1.292447e+17
1.731141e+01,5.617933e-19,7,2.123379e-19,2.000000e-01,2.048390e+17
1.751141e+01,2.025529e-19,4,1.012765e-19,2.000000e-01,3.246479e+17
1.771141e+01,1.597528e-19,5,7.144363e-20,2.000000e-01,5.145323e+17
1.791141e+01,1.411161e-19,7,5.333687e-20,2.000000e-01,8.154787e+17
1.811141e+01,6.359874e-20,5,2.844222e-20,2.000000e-01,1.292447e+18
1.831141e+01,7.223057e-20,9,2.407686e-20,2.000000e-01,2.048390e+18
1.851141e+01,1.012765e-20,2,7.161327e-21,2.000000e-01,3.246479e+18
1.871141e+01,2.556045e-20,8,9.036984e-21,2.000000e-01,5.145323e+18
1.891141e+01,1.814350e-20,9,6.047833e-21,2.000000e-01,8.154787e+18
1.911141e+01,1.144777e-20,9,3.815925e-21,2.000000e-01,1.292447e+19
1.931141e+01,5.617933e-21,7,2.123379e-21,2.000000e-01,2.048390e+19
1.951141e+01,2.025529e-21,4,1.012765e-21,2.000000e-01,3.246479e+19
1.971141e+01,3.195056e-22,1,3.195056e-22,2.000000e-01,5.145323e+19
1.991141e+01,6.047833e-22,3,3.491718e-22,2.000000e-01,8.154787e+19
2.011141e+01,5.087899e-22,4,2.543950e-22,2.000000e-01,1.292447e+20
2.031141e+01,3.210248e-22,4,1.605124e-22,2.000000e-01,2.048390e+20
2.051141e+01,5.063823e-23,1,5.063823e-23,2.000000e-01,3.246479e+20
2.071141e+01,1.278023e-22,4,6.390113e-23,2.000000e-01,5.145323e+20
2.091141e+01,2.015944e-23,1,2.015944e-23,2.000000e-01,8.154787e+20
2.111141e+01,2.543950e-23,2,1.798844e-23,2.000000e-01,1.292447e+21
2.131141e+01,0.000000e+00,0,,2.000000e-01,2.048390e+21
2.151141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+21
2.191141e+01,0.000000e+00,0,,2.000000e-01,8.154787e+21
2.211141e+01,0.000000e+00,0,,2.000000e-01,1.292447e+22
2.231141e+01,0.000000e+00,0,,2.000000e-01,2.048390e+22
2.251141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+22
2.271141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+22
