k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
1.343328e-01,7.265721e-02,7.566154e-02,7.566154e-04,3.441986e-02,3.647865e-02,3.647865e-04
1.367316e-01,6.632100e-02,7.128000e-02,7.128000e-04,3.095773e-02,3.373605e-02,3.373605e-04
1.391304e-01,6.106559e-02,6.429824e-02,6.429824e-04,2.841440e-02,3.060747e-02,3.060747e-04
1.415292e-01,5.410868e-02,5.713547e-02,5.713547e-04,2.529322e-02,2.655188e-02,2.655188e-04
1.439280e-01,5.048078e-02,5.335283e-02,5.335283e-04,2.300535e-02,2.443477e-02,2.443477e-04
1.463268e-01,4.613757e-02,4.887666e-02,4.887666e-04,2.090302e-02,2.259403e-02,2.259403e-04
1.487256e-01,4.310264e-02,4.539574e-02,4.539574e-04,1.914965e-02,2.058555e-02,2.058555e-04
1.511244e-01,3.925959e-02,4.150657e-02,4.150657e-04,1.730794e-02,1.884521e-02,1.884521e-04
1.535232e-01,3.589313e-02,3.843884e-02,3.843884e-04,1.550309e-02,1.661952e-02,1.661952e-04
1.559220e-01,3.331726e-02,3.570236e-02,3.570236e-04,1.403377e-02,1.521091e-02,1.521091e-04
1.583209e-01,3.054842e-02,3.260678e-02,3.260678e-04,1.294173e-02,1.422312e-02,1.422312e-04
1.607197e-01,2.849153e-02,3.099781e-02,3.099781e-04,1.161734e-02,1.285422e-02,1.285422e-04
1.631185e-01,2.646611e-02,2.828168e-02,2.828168e-04,1.077580e-02,1.186775e-02,1.186775e-04
1.655173e-01,2.405480e-02,2.580748e-02,2.580748e-04,9.529695e-03,1.068739e-02,1.068739e-04
1.679161e-01,2.250880e-02,2.392748e-02,2.392748e-04,8.798408e-03,9.606497e-03,9.606497e-05
1.703149e-01,2.038798e-02,2.194726e-02,2.194726e-04,7.891896e-03,8.787573e-03,8.787573e-05
1.727137e-01,1.862210e-02,2.023323e-02,2.023323e-04,7.110718e-03,7.884690e-03,7.884690e-05
1.751125e-01,1.785892e-02,1.927931e-02,1.927931e-04,6.820178e-03,7.717261e-03,7.717261e-05
1.775113e-01,1.630731e-02,1.745191e-02,1.745191e-04,6.032909e-03,6.825283e-03,6.825283e-05
1.799101e-01,1.481639e-02,1.615394e-02,1.615394e-04,5.468427e-03,6.071802e-03,6.071802e-05
1.823089e-01,1.398918e-02,1.532552e-02,1.532552e-04,5.083230e-03,5.848941e-03,5.848941e-05
