# n_sightlines = 10000
# X = 5.642227e-02 (absorption distance, dimensionless)
# dX_comoving_mpc = 37.252272
# X_absorption = 5.642227e-02
# redshift = 1.601151
# n_absorbers = 470000
# absorber_mode = 2
# cell_dv = 50.0
# colden_mode = 1
# norm_mode = 1
# log_N_min = 13.0
# log_N_max = 22.8
# n_bins = 49
# fit_log_N_min = 13.5
# fit_log_N_max = 15.0
# min_N_gate = 0.0
# dx_mode = 1
# beta_fit = 1.856103
# beta_fit_err = 0.028698
# beta_fit_n_bins = 8
# f_N_HI units: [cm^2]  (f(N) = dn/dN dX)
#
log10_N_HI,f_N_HI,counts,f_N_HI_err,delta_log_N,bin_center
1.311141e+01,7.000090e-12,23101,4.605621e-14,2.000000e-01,1.292447e+13
1.331141e+01,3.447217e-12,18030,2.567265e-14,2.000000e-01,2.048390e+13
1.351141e+01,1.673085e-12,13869,1.420677e-14,2.000000e-01,3.246479e+13
1.371141e+01,7.877188e-13,10349,7.743228e-15,2.000000e-01,5.145323e+13
1.391141e+01,3.676360e-13,7655,4.201897e-15,2.000000e-01,8.154787e+13
1.411141e+01,1.619648e-13,5345,2.215372e-15,2.000000e-01,1.292447e+14
1.431141e+01,6.575140e-14,3439,1.121215e-15,2.000000e-01,2.048390e+14
1.451141e+01,2.678094e-14,2220,5.683938e-16,2.000000e-01,3.246479e+14
1.471141e+01,1.085406e-14,1426,2.874303e-16,2.000000e-01,5.145323e+14
1.491141e+01,4.379935e-15,912,1.450341e-16,2.000000e-01,8.154787e+14
1.511141e+01,1.790855e-15,591,7.366592e-17,2.000000e-01,1.292447e+15
1.531141e+01,7.475661e-16,391,3.780604e-17,2.000000e-01,2.048390e+15
1.551141e+01,3.486348e-16,289,2.050793e-17,2.000000e-01,3.246479e+15
1.571141e+01,1.476640e-16,194,1.060166e-17,2.000000e-01,5.145323e+15
1.591141e+01,6.963713e-17,145,5.783049e-18,2.000000e-01,8.154787e+15
1.611141e+01,3.121117e-17,103,3.075328e-18,2.000000e-01,1.292447e+16
1.631141e+01,1.835456e-17,96,1.873305e-18,2.000000e-01,2.048390e+16
1.651141e+01,8.082536e-18,67,9.874389e-19,2.000000e-01,3.246479e+16
1.671141e+01,5.251966e-18,69,6.322625e-19,2.000000e-01,5.145323e+16
1.691141e+01,2.161152e-18,45,3.221656e-19,2.000000e-01,8.154787e+16
1.711141e+01,1.242386e-18,41,1.940282e-19,2.000000e-01,1.292447e+17
1.731141e+01,6.882962e-19,36,1.147160e-19,2.000000e-01,2.048390e+17
1.751141e+01,2.533332e-19,21,5.528184e-20,2.000000e-01,3.246479e+17
1.771141e+01,1.370078e-19,18,3.229305e-20,2.000000e-01,5.145323e+17
1.791141e+01,1.056563e-19,22,2.252601e-20,2.000000e-01,8.154787e+17
1.811141e+01,7.575527e-20,25,1.515105e-20,2.000000e-01,1.292447e+18
1.831141e+01,2.294321e-20,12,6.623133e-21,2.000000e-01,2.048390e+18
1.851141e+01,8.444441e-21,7,3.191699e-21,2.000000e-01,3.246479e+18
1.871141e+01,1.065616e-20,14,2.847980e-21,2.000000e-01,5.145323e+18
1.891141e+01,6.243329e-21,13,1.731588e-21,2.000000e-01,8.154787e+18
1.911141e+01,3.333232e-21,11,1.005007e-21,2.000000e-01,1.292447e+19
1.931141e+01,1.338354e-21,7,5.058501e-22,2.000000e-01,2.048390e+19
1.951141e+01,8.444441e-22,7,3.191699e-22,2.000000e-01,3.246479e+19
1.971141e+01,6.089236e-22,8,2.152870e-22,2.000000e-01,5.145323e+19
1.991141e+01,6.723585e-22,14,1.796954e-22,2.000000e-01,8.154787e+19
2.011141e+01,2.424169e-22,8,8.570731e-23,2.000000e-01,1.292447e+20
2.031141e+01,1.720740e-22,9,5.735801e-23,2.000000e-01,2.048390e+20
2.051141e+01,2.412697e-23,2,1.706035e-23,2.000000e-01,3.246479e+20
2.071141e+01,3.805773e-23,5,1.701993e-23,2.000000e-01,5.145323e+20
2.091141e+01,1.440768e-23,3,8.318279e-24,2.000000e-01,8.154787e+20
2.111141e+01,6.060422e-24,2,4.285365e-24,2.000000e-01,1.292447e+21
2.131141e+01,3.823868e-24,2,2.703883e-24,2.000000e-01,2.048390e+21
2.151141e+01,1.206349e-24,1,1.206349e-24,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+21
2.191141e+01,0.000000e+00,0,,2.000000e-01,8.154787e+21
2.211141e+01,0.000000e+00,0,,2.000000e-01,1.292447e+22
2.231141e+01,0.000000e+00,0,,2.000000e-01,2.048390e+22
2.251141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+22
2.271141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+22
