ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.718407e+05,7.199507e+04
HI 1215Å,111935,1.119350e+02,6.875910e-01,3.114262e+03,1.661448e+00
