statistic,value
mean_flux,0.24129831570655702
median_flux,0.16655424237251282
std_flux,0.24465388262872773
min_flux,2.9382650407717056e-39
max_flux,0.983245313167572
mean_tau,2732.224906764172
median_tau,1.7924342155456543
effective_tau,1.4217212864560878
deep_absorption_frac,0.42760643553138455
moderate_absorption_frac,0.3793179307889029
weak_absorption_frac,0.19307563367971253
tau_eff_err,0.003232722813771447
tau_eff_std,0.3232722813771447
mean_flux_err,0.0006456326554107701
mean_flux_std,0.06456326554107701
n_sightlines,10000.0
tau_eff_obs_target,0.8160743077493965
mean_flux_target,0.44216405184357616
tau_scale_factor,0.39662278170268117
tau_eff_H_total,inf
hi_fraction_eff,0.0
