ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,4.627998e+04,1.040805e+04
HI 1215Å,28707,2.870700e+01,8.281077e-02,7.804821e+03,1.207559e+00
