# n_sightlines = 10000
# X = 3.496315e-02 (absorption distance, dimensionless)
# dX_comoving_mpc = 37.252272
# X_absorption = 3.496315e-02
# redshift = 1.047602
# n_absorbers = 440000
# absorber_mode = 2
# cell_dv = 50.0
# colden_mode = 1
# norm_mode = 1
# log_N_min = 13.0
# log_N_max = 22.8
# n_bins = 49
# fit_log_N_min = 13.5
# fit_log_N_max = 15.0
# min_N_gate = 0.0
# dx_mode = 1
# beta_fit = 1.917255
# beta_fit_err = 0.033883
# beta_fit_n_bins = 8
# f_N_HI units: [cm^2]  (f(N) = dn/dN dX)
#
log10_N_HI,f_N_HI,counts,f_N_HI_err,delta_log_N,bin_center
1.311141e+01,6.607429e-12,13512,5.684244e-14,2.000000e-01,1.292447e+13
1.331141e+01,3.261278e-12,10570,3.172126e-14,2.000000e-01,2.048390e+13
1.351141e+01,1.531518e-12,7867,1.726702e-14,2.000000e-01,3.246479e+13
1.371141e+01,7.215174e-13,5874,9.414123e-15,2.000000e-01,5.145323e+13
1.391141e+01,3.229508e-13,4167,5.002933e-15,2.000000e-01,8.154787e+13
1.411141e+01,1.347697e-13,2756,2.567157e-15,2.000000e-01,1.292447e+14
1.431141e+01,5.772802e-14,1871,1.334596e-15,2.000000e-01,2.048390e+14
1.451141e+01,2.242670e-14,1152,6.607530e-16,2.000000e-01,3.246479e+14
1.471141e+01,8.500001e-15,692,3.231216e-16,2.000000e-01,5.145323e+14
1.491141e+01,3.239583e-15,418,1.584532e-16,2.000000e-01,8.154787e+14
1.511141e+01,1.207841e-15,247,7.685310e-17,2.000000e-01,1.292447e+15
1.531141e+01,6.078258e-16,197,4.330579e-17,2.000000e-01,2.048390e+15
1.551141e+01,2.102503e-16,108,2.023135e-17,2.000000e-01,3.246479e+15
1.571141e+01,1.142341e-16,93,1.184553e-17,2.000000e-01,5.145323e+15
1.591141e+01,5.812650e-17,75,6.711870e-18,2.000000e-01,8.154787e+15
1.611141e+01,2.396122e-17,49,3.423032e-18,2.000000e-01,1.292447e+16
1.631141e+01,1.203310e-17,39,1.926838e-18,2.000000e-01,2.048390e+16
1.651141e+01,4.866905e-18,25,9.733811e-19,2.000000e-01,3.246479e+16
1.671141e+01,3.562139e-18,29,6.614727e-19,2.000000e-01,5.145323e+16
1.691141e+01,1.860048e-18,24,3.796807e-19,2.000000e-01,8.154787e+16
1.711141e+01,1.271412e-18,26,2.493444e-19,2.000000e-01,1.292447e+17
1.731141e+01,6.170820e-19,20,1.379837e-19,2.000000e-01,2.048390e+17
1.751141e+01,3.114819e-19,16,7.787049e-20,2.000000e-01,3.246479e+17
1.771141e+01,1.105491e-19,9,3.684972e-20,2.000000e-01,5.145323e+17
1.791141e+01,1.317534e-19,17,3.195489e-20,2.000000e-01,8.154787e+17
1.811141e+01,6.846064e-20,14,1.829687e-20,2.000000e-01,1.292447e+18
1.831141e+01,3.085410e-20,10,9.756923e-21,2.000000e-01,2.048390e+18
1.851141e+01,3.893524e-21,2,2.753137e-21,2.000000e-01,3.246479e+18
1.871141e+01,1.596821e-20,13,4.428785e-21,2.000000e-01,5.145323e+18
1.891141e+01,6.200160e-21,8,2.192088e-21,2.000000e-01,8.154787e+18
1.911141e+01,1.956018e-21,4,9.780091e-22,2.000000e-01,1.292447e+19
1.931141e+01,2.159787e-21,7,8.163228e-22,2.000000e-01,2.048390e+19
1.951141e+01,1.557410e-21,8,5.506275e-22,2.000000e-01,3.246479e+19
1.971141e+01,8.598267e-22,7,3.249840e-22,2.000000e-01,5.145323e+19
1.991141e+01,4.650120e-22,6,1.898403e-22,2.000000e-01,8.154787e+19
2.011141e+01,9.780091e-23,2,6.915569e-23,2.000000e-01,1.292447e+20
2.031141e+01,1.542705e-22,5,6.899187e-23,2.000000e-01,2.048390e+20
2.051141e+01,5.840286e-23,3,3.371891e-23,2.000000e-01,3.246479e+20
2.071141e+01,3.684972e-23,3,2.127519e-23,2.000000e-01,5.145323e+20
2.091141e+01,1.550040e-23,2,1.096044e-23,2.000000e-01,8.154787e+20
2.111141e+01,0.000000e+00,0,,2.000000e-01,1.292447e+21
2.131141e+01,0.000000e+00,0,,2.000000e-01,2.048390e+21
2.151141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+21
2.171141e+01,1.228324e-24,1,1.228324e-24,2.000000e-01,5.145323e+21
2.191141e+01,0.000000e+00,0,,2.000000e-01,8.154787e+21
2.211141e+01,0.000000e+00,0,,2.000000e-01,1.292447e+22
2.231141e+01,0.000000e+00,0,,2.000000e-01,2.048390e+22
2.251141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+22
2.271141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+22
