statistic,value
mean_flux,0.9556275248694645
median_flux,0.9960068464279175
std_flux,0.13214684028787102
min_flux,2.9382650407717056e-39
max_flux,1.0
mean_tau,186.0172352027321
median_tau,0.004001149442046881
effective_tau,0.045387060189061225
deep_absorption_frac,0.006919396570820965
moderate_absorption_frac,0.01671492623277657
weak_absorption_frac,0.9763656771964024
tau_eff_err,0.0008115586962682289
tau_eff_std,0.08115586962682289
mean_flux_err,0.00040410828756499116
mean_flux_std,0.040410828756499116
n_sightlines,10000.0
tau_eff_obs_target,
mean_flux_target,
tau_scale_factor,
tau_eff_H_total,12.9286634634644
hi_fraction_eff,0.003510576341825585
