ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10006,1.000600e+01,9.999973e-01,1.710627e+04,2.772195e+03
HI 1215Å,11770,1.177000e+01,3.082169e-02,8.035419e+03,1.077619e+00
