ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,4.766606e+04,8.908781e+03
HI 1215Å,25459,2.545900e+01,7.944125e-02,8.740284e+03,1.229114e+00
