ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,7.159614e+04,1.793492e+04
HI 1215Å,42509,4.250900e+01,1.273860e-01,7.705795e+03,1.339121e+00
