# n_pixels = 261930000
# n_bins = 50
# grid = fixed, [0, 1]
# density: normalised so sum(density * bin_width) = 1
# density_err: Poisson, sqrt(count) / (n_pixels * bin_width)
#
flux_bin_center,flux_bin_low,flux_bin_high,density,density_err,count
1.000000e-02,0.000000e+00,2.000000e-02,3.658017e+00,8.356323e-04,19162886
3.000000e-02,2.000000e-02,4.000000e-02,5.928368e-01,3.364031e-04,3105635
5.000000e-02,4.000000e-02,6.000000e-02,4.499857e-01,2.930837e-04,2357295
7.000000e-02,6.000000e-02,8.000000e-02,3.833887e-01,2.705279e-04,2008420
9.000000e-02,8.000000e-02,1.000000e-01,3.401403e-01,2.548129e-04,1781859
1.100000e-01,1.000000e-01,1.200000e-01,3.184150e-01,2.465410e-04,1668049
1.300000e-01,1.200000e-01,1.400000e-01,2.978931e-01,2.384639e-04,1560543
1.500000e-01,1.400000e-01,1.600000e-01,2.880953e-01,2.345095e-04,1509216
1.700000e-01,1.600000e-01,1.800000e-01,2.775652e-01,2.301839e-04,1454053
1.900000e-01,1.800000e-01,2.000000e-01,2.713376e-01,2.275869e-04,1421429
2.100000e-01,2.000000e-01,2.200000e-01,2.661037e-01,2.253813e-04,1394011
2.300000e-01,2.200000e-01,2.400000e-01,2.626982e-01,2.239345e-04,1376171
2.500000e-01,2.400000e-01,2.600000e-01,2.617539e-01,2.235316e-04,1371224
2.700000e-01,2.600000e-01,2.800000e-01,2.619288e-01,2.236063e-04,1372140
2.900000e-01,2.800000e-01,3.000000e-01,2.625761e-01,2.238824e-04,1375531
3.100000e-01,3.000000e-01,3.200000e-01,2.647007e-01,2.247863e-04,1386661
3.300000e-01,3.200000e-01,3.400000e-01,2.682121e-01,2.262724e-04,1405056
3.500000e-01,3.400000e-01,3.600000e-01,2.722244e-01,2.279586e-04,1426075
3.700000e-01,3.600000e-01,3.800000e-01,2.764949e-01,2.297396e-04,1448446
3.900000e-01,3.800000e-01,4.000000e-01,2.815151e-01,2.318159e-04,1474745
4.100000e-01,4.000000e-01,4.200000e-01,2.880296e-01,2.344828e-04,1508872
4.300000e-01,4.200000e-01,4.400000e-01,2.941471e-01,2.369598e-04,1540919
4.500000e-01,4.400000e-01,4.600000e-01,3.027255e-01,2.403903e-04,1585858
4.700000e-01,4.600000e-01,4.800000e-01,3.125530e-01,2.442610e-04,1637340
4.900000e-01,4.800000e-01,5.000000e-01,3.257819e-01,2.493767e-04,1706641
5.100000e-01,5.000000e-01,5.200000e-01,3.377234e-01,2.539060e-04,1769198
5.300000e-01,5.200000e-01,5.400000e-01,3.510129e-01,2.588534e-04,1838816
5.500000e-01,5.400000e-01,5.600000e-01,3.683471e-01,2.651679e-04,1929623
5.700000e-01,5.600000e-01,5.800000e-01,3.885912e-01,2.723572e-04,2035674
5.900000e-01,5.800000e-01,6.000000e-01,4.089532e-01,2.794018e-04,2142342
6.100000e-01,6.000000e-01,6.200000e-01,4.358726e-01,2.884511e-04,2283362
6.300000e-01,6.200000e-01,6.400000e-01,4.640893e-01,2.976413e-04,2431178
6.500000e-01,6.400000e-01,6.600000e-01,4.972647e-01,3.080961e-04,2604971
6.700000e-01,6.600000e-01,6.800000e-01,5.399147e-01,3.210369e-04,2828397
6.900000e-01,6.800000e-01,7.000000e-01,5.872103e-01,3.348029e-04,3076160
7.100000e-01,7.000000e-01,7.200000e-01,6.393397e-01,3.493480e-04,3349245
7.300000e-01,7.200000e-01,7.400000e-01,7.070505e-01,3.673818e-04,3703955
7.500000e-01,7.400000e-01,7.600000e-01,7.909665e-01,3.885719e-04,4143557
7.700000e-01,7.600000e-01,7.800000e-01,8.889591e-01,4.119393e-04,4656901
7.900000e-01,7.800000e-01,8.000000e-01,1.011896e+00,4.395014e-04,5300916
8.100000e-01,8.000000e-01,8.200000e-01,1.166711e+00,4.719261e-04,6111932
8.300000e-01,8.200000e-01,8.400000e-01,1.366589e+00,5.107534e-04,7159012
8.500000e-01,8.400000e-01,8.600000e-01,1.629693e+00,5.577573e-04,8537308
8.700000e-01,8.600000e-01,8.800000e-01,1.981219e+00,6.149766e-04,10378813
8.900000e-01,8.800000e-01,9.000000e-01,2.470357e+00,6.867082e-04,12941210
9.100000e-01,9.000000e-01,9.200000e-01,3.149888e+00,7.754253e-04,16501004
9.300000e-01,9.200000e-01,9.400000e-01,4.143387e+00,8.893448e-04,21705549
9.500000e-01,9.400000e-01,9.600000e-01,5.488364e+00,1.023561e-03,28751345
9.700000e-01,9.600000e-01,9.800000e-01,6.509195e+00,1.114695e-03,34099067
9.900000e-01,9.800000e-01,1.000000e+00,2.598288e+00,7.042648e-04,13611390
