ion_name,n_absorbers,dN_dz,covering_fraction,mean_tau,median_tau
H (total) 1215Å,10000,1.000000e+01,1.000000e+00,1.727691e+05,7.011853e+04
HI 1215Å,118177,1.181770e+02,6.665301e-01,3.497484e+03,1.672146e+00
