statistic,value
mean_flux,0.7016824829371602
median_flux,0.8461702466011047
std_flux,0.3108014187074207
min_flux,2.9382650407717056e-39
max_flux,0.9995993375778198
mean_tau,1202.7884031030756
median_tau,0.16703467071056366
effective_tau,0.3542742807847309
deep_absorption_frac,0.10128972626274195
moderate_absorption_frac,0.12251239644179743
weak_absorption_frac,0.7761978772954606
tau_eff_err,0.001809986443415032
tau_eff_std,0.1809986443415032
mean_flux_err,0.0008443655013446747
mean_flux_std,0.08443655013446746
n_sightlines,10000.0
tau_eff_obs_target,0.21453640709064936
mean_flux_target,0.8069154337537775
tau_scale_factor,0.43625357545075044
tau_eff_H_total,140.83980869956383
hi_fraction_eff,0.0025154413633034756
