statistic,value
mean_flux,0.558663633898144
median_flux,0.6739487648010254
std_flux,0.3312867948832493
min_flux,2.9382650407717056e-39
max_flux,0.997027575969696
mean_tau,2415.7458068979954
median_tau,0.3946012258529663
effective_tau,0.5822077152062277
deep_absorption_frac,0.18106040680154972
moderate_absorption_frac,0.18594101736260582
weak_absorption_frac,0.6329985758358444
tau_eff_err,0.0027830813808974197
tau_eff_std,0.278308138089742
mean_flux_err,0.0008106698036858128
mean_flux_std,0.08106698036858127
n_sightlines,10000.0
tau_eff_obs_target,0.3620014421674397
mean_flux_target,0.6962813636867353
tau_scale_factor,0.44071126652479814
tau_eff_H_total,inf
hi_fraction_eff,0.0
